run_label,model_name,held_out_type,held_out_name,eval_loss,mean_summed_nll_per_item,sem_nll_per_item,n_items,n_sequences,timestamp
loo_Dymarska2025_associations,ours,study,Dymarska2025_associations,2.625778404417812,6.201873368556612,0.03408189697304256,7207,40,2026-09-03T16:33:40.712477+00:00
base_Dymarska2025_associations,base,study,Dymarska2025_associations,2.781106802960874,6.566650847944056,0.03488998046436955,7207,40,2026-09-03T16:34:23.206037+00:00
loo_balota2007_naming,ours,study,balota2007_naming,5.646105533194746,6.3630900583782655,0.0039364998934230695,100337,153,2026-09-03T16:34:25.165144+00:00
minitaur_Dymarska2025_associations,minitaur,study,Dymarska2025_associations,2.7655974621078605,6.531245706282196,0.034619921856252886,7207,40,2026-09-03T16:35:05.718981+00:00
loo_balota2007_LDT,ours,study,balota2007_LDT,0.35341982190401167,0.35312708924125585,0.0021012356345678153,100283,116,2026-09-03T16:43:28.179094+00:00
base_balota2007_naming,base,study,balota2007_naming,5.703640143305763,6.425210711776314,0.004116295782807388,100337,153,2026-09-03T16:47:09.346437+00:00
loo_brysbaert2014_Concreteness,ours,study,brysbaert2014_Concreteness,1.1455464758939975,1.1453888507638397,0.002858405852483888,100224,302,2026-09-03T16:49:36.947078+00:00
base_balota2007_LDT,base,study,balota2007_LDT,0.4335231295433922,0.43337683335652294,0.0016913548915395494,100283,116,2026-09-03T16:55:36.115540+00:00
minitaur_balota2007_naming,minitaur,study,balota2007_naming,5.702295546021496,6.423100012333436,0.004119662840226838,100337,153,2026-09-03T16:59:52.636402+00:00
minitaur_balota2007_LDT,minitaur,study,balota2007_LDT,0.4287117457595006,0.42857194912323904,0.0017038669990146458,100283,116,2026-09-03T17:08:03.872582+00:00
base_brysbaert2014_Concreteness,base,study,brysbaert2014_Concreteness,1.26535310903576,1.265196751817433,0.0025881457023339627,100224,302,2026-09-03T17:08:34.015019+00:00
minitaur_brysbaert2014_Concreteness,minitaur,study,brysbaert2014_Concreteness,1.26003751596424,1.2597257978310226,0.002592195227322351,100224,302,2026-09-03T17:27:27.703316+00:00
loo_devardaetal2024_cloze,ours,study,devardaetal2024_cloze,2.9293089499275067,3.654216914377023,0.008820981457596914,100071,464,2026-09-03T21:09:08.988385+00:00
loo_frank2013_reading,ours,study,frank2013_reading,4.9631270770691565,4.999795329290701,0.005132016550705854,100409,68,2026-09-03T21:23:18.873036+00:00
base_devardaetal2024_cloze,base,study,devardaetal2024_cloze,3.127804612340695,3.9020755496141684,0.00953661123733915,100071,464,2026-09-03T21:29:53.283169+00:00
base_frank2013_reading,base,study,frank2013_reading,5.009969931951258,5.045204760965152,0.005197940750092188,100409,68,2026-09-03T21:34:12.938634+00:00
minitaur_frank2013_reading,minitaur,study,frank2013_reading,5.010286437727489,5.045844877264488,0.005173487741375594,100409,68,2026-09-03T21:45:12.064525+00:00
minitaur_devardaetal2024_cloze,minitaur,study,devardaetal2024_cloze,3.114525587207998,3.8848222428213663,0.00948575024747511,100071,464,2026-09-03T21:50:37.103033+00:00
loo_devardaetal2024_rating,ours,study,devardaetal2024_rating,1.2778105208479011,1.2775540638714955,0.002557098250492885,100106,464,2026-09-03T21:54:00.930864+00:00
loo_frank2013_reading_eyetracking,ours,study,frank2013_reading_eyetracking,4.391404087013843,4.392954046039397,0.006260022019357238,37903,43,2026-09-03T22:01:02.759523+00:00
base_frank2013_reading_eyetracking,base,study,frank2013_reading_eyetracking,4.278022412656559,4.279951455029945,0.005500041559070974,37903,43,2026-09-03T22:07:26.847941+00:00
minitaur_frank2013_reading_eyetracking,minitaur,study,frank2013_reading_eyetracking,4.2762294001318395,4.278550881526528,0.005509338242172417,37903,43,2026-09-03T22:14:18.358773+00:00
base_devardaetal2024_rating,base,study,devardaetal2024_rating,1.3499790222364294,1.349808554433765,0.002657033475544001,100106,464,2026-09-03T22:35:20.201310+00:00
minitaur_devardaetal2024_rating,minitaur,study,devardaetal2024_rating,1.3467724212334924,1.346574977630645,0.002638058945520162,100106,464,2026-09-03T23:15:53.460073+00:00
loo_guenther2020TS,ours,study,guenther2020TS,0.2731376731779818,0.27300091874125504,0.002014767315291656,75356,145,2026-09-04T02:08:44.939136+00:00
