freq_bin,mean_log_freq,mean_nll,n_items,study,model
"(2.199, 2.73]",2.472711137568439,0.4652258693790041,12331,balota2007_LDT,base
"(2.73, 3.255]",2.979296227047332,0.38215382446932666,11380,balota2007_LDT,base
"(3.255, 3.781]",3.4964375922894204,0.3021478978448964,7442,balota2007_LDT,base
"(3.781, 4.306]",4.012398128826613,0.26243503720378586,4303,balota2007_LDT,base
"(4.306, 4.832]",4.534209416139075,0.23009332894774875,1892,balota2007_LDT,base
"(4.832, 5.357]",5.052908750460906,0.16183945739153519,618,balota2007_LDT,base
"(5.357, 5.883]",5.559228555539855,0.2924574973366477,275,balota2007_LDT,base
"(5.883, 6.408]",6.13873398202693,0.2851243195710359,108,balota2007_LDT,base
"(6.408, 6.934]",6.615829935376579,0.3398992365056818,44,balota2007_LDT,base
"(6.934, 7.459]",7.274002482166723,0.45189666748046875,16,balota2007_LDT,base
"(2.199, 2.73]",2.472711137568439,0.384493590155306,12331,balota2007_LDT,ours
"(2.73, 3.255]",2.979296227047332,0.3067165113291548,11380,balota2007_LDT,ours
"(3.255, 3.781]",3.4964375922894204,0.20944090025362805,7442,balota2007_LDT,ours
"(3.781, 4.306]",4.012398128826613,0.1797366274142858,4303,balota2007_LDT,ours
"(4.306, 4.832]",4.534209416139075,0.15833296987521472,1892,balota2007_LDT,ours
"(4.832, 5.357]",5.052908750460906,0.09475332710735235,618,balota2007_LDT,ours
"(5.357, 5.883]",5.559228555539855,0.23396373401988638,275,balota2007_LDT,ours
"(5.883, 6.408]",6.13873398202693,0.2146829675745081,108,balota2007_LDT,ours
"(6.408, 6.934]",6.615829935376579,0.17197140780362216,44,balota2007_LDT,ours
"(6.934, 7.459]",7.274002482166723,0.2927417755126953,16,balota2007_LDT,ours
"(2.202, 2.459]",2.324541449646609,0.4578423983808877,5451,guenther2020LDT,base
"(2.459, 2.714]",2.579235652103625,0.4003985350650677,5355,guenther2020LDT,base
"(2.714, 2.968]",2.832393499353872,0.3288395486106428,4634,guenther2020LDT,base
"(2.968, 3.223]",3.0826318273859625,0.2881300982306985,2805,guenther2020LDT,base
"(3.223, 3.478]",3.3377328037945846,0.202745802514946,1887,guenther2020LDT,base
"(3.478, 3.733]",3.6109787334133268,0.18739199407706683,1137,guenther2020LDT,base
