run_label,model_name,held_out_type,held_out_name,eval_loss,mean_summed_nll_per_item,sem_nll_per_item,n_items,n_sequences,timestamp
loo_Dymarska2025_associations,ours,study,Dymarska2025_associations,2.62460345435319,6.198265506537426,0.034163208717619714,7207,40,2026-08-31T15:49:28.155936+00:00
base_Dymarska2025_associations,base,study,Dymarska2025_associations,2.781106802960874,6.566650847944056,0.03488998046436955,7207,40,2026-08-31T15:50:11.713659+00:00
loo_balota2007_naming,ours,study,balota2007_naming,5.64561015524791,6.361949215518702,0.003867429812640054,100337,153,2026-08-31T15:50:27.095849+00:00
minitaur_Dymarska2025_associations,minitaur,study,Dymarska2025_associations,2.7655974621078605,6.531245706282196,0.034619921856252886,7207,40,2026-08-31T15:51:08.620309+00:00
loo_balota2007_LDT,ours,study,balota2007_LDT,0.3554042060967462,0.35508228053719304,0.0020862339104207772,100283,116,2026-08-31T15:58:45.160047+00:00
base_balota2007_naming,base,study,balota2007_naming,5.703640143305763,6.425210711776314,0.004116295782807388,100337,153,2026-08-31T16:03:53.567938+00:00
loo_brysbaert2014_Concreteness,ours,study,brysbaert2014_Concreteness,1.1494552203065134,1.1491800152326757,0.0028461021724588264,100224,302,2026-08-31T16:05:15.010269+00:00
base_balota2007_LDT,base,study,balota2007_LDT,0.4335231295433922,0.43337683335652294,0.0016913548915395494,100283,116,2026-08-31T16:11:04.146478+00:00
minitaur_balota2007_naming,minitaur,study,balota2007_naming,5.702295546021496,6.423100012333436,0.004119662840226838,100337,153,2026-08-31T16:17:20.652780+00:00
minitaur_balota2007_LDT,minitaur,study,balota2007_LDT,0.4287117457595006,0.42857194912323904,0.0017038669990146458,100283,116,2026-08-31T16:23:39.811745+00:00
base_brysbaert2014_Concreteness,base,study,brysbaert2014_Concreteness,1.26535310903576,1.265196751817433,0.0025881457023339627,100224,302,2026-08-31T16:26:50.015837+00:00
minitaur_brysbaert2014_Concreteness,minitaur,study,brysbaert2014_Concreteness,1.26003751596424,1.2597257978310226,0.002592195227322351,100224,302,2026-08-31T16:49:27.877824+00:00
loo_devardaetal2024_cloze,ours,study,devardaetal2024_cloze,2.9527631589487258,3.683411022680733,0.008997614299360211,100071,464,2026-08-31T20:02:59.385643+00:00
loo_frank2013_reading,ours,study,frank2013_reading,1.389229302832244,8.771605478447366,0.8944481655618294,74395,66,2026-08-31T20:17:26.991474+00:00
base_devardaetal2024_cloze,base,study,devardaetal2024_cloze,3.127804612340695,3.9020755496141684,0.00953661123733915,100071,464,2026-08-31T20:23:47.821602+00:00
base_frank2013_reading,base,study,frank2013_reading,1.2269880174291938,7.753710250808344,0.6452226449246596,74395,66,2026-08-31T20:27:53.813960+00:00
minitaur_frank2013_reading,minitaur,study,frank2013_reading,1.227192265795207,7.7552906856027946,0.6452818140263648,74395,66,2026-08-31T20:38:32.222727+00:00
minitaur_devardaetal2024_cloze,minitaur,study,devardaetal2024_cloze,3.114525587207998,3.8848222428213663,0.00948575024747511,100071,464,2026-08-31T20:45:15.376335+00:00
loo_devardaetal2024_rating,ours,study,devardaetal2024_rating,1.2700937006772821,1.2698861191999762,0.0023914228265788143,100106,464,2026-08-31T20:47:11.568822+00:00
loo_futrell2021_corpus,ours,study,futrell2021_corpus,4.326286720175708,4.359198710650154,0.007392801282395541,61446,31,2026-08-31T20:59:09.513131+00:00
base_futrell2021_corpus,base,study,futrell2021_corpus,4.3224108137788475,4.35372159853774,0.007696407285884952,61446,31,2026-08-31T21:06:44.970773+00:00
minitaur_futrell2021_corpus,minitaur,study,futrell2021_corpus,4.318485739203463,4.351581048059787,0.007679252032915244,61443,31,2026-08-31T21:14:17.891507+00:00
base_devardaetal2024_rating,base,study,devardaetal2024_rating,1.3499790222364294,1.349808554433765,0.002657033475544001,100106,464,2026-08-31T21:29:04.781688+00:00
minitaur_devardaetal2024_rating,minitaur,study,devardaetal2024_rating,1.3467724212334924,1.346574977630645,0.002638058945520162,100106,464,2026-08-31T22:10:40.137727+00:00
loo_guenther2022relational,ours,study,guenther2022relational,0.7226212496096471,2.7339292422207917,0.010552101728509683,22000,400,2026-09-01T00:44:06.904156+00:00
loo_guenther2020LDT,ours,study,guenther2020LDT,0.2700112033741927,0.26980399074833494,0.002029910443344408,75870,146,2026-09-01T00:51:20.233161+00:00
base_guenther2020LDT,base,study,guenther2020LDT,0.35883995650454725,0.3585919652827977,0.0018503068376973786,75870,146,2026-09-01T01:00:15.215220+00:00
base_guenther2022relational,base,study,guenther2022relational,0.7426013115856734,2.809940739024769,0.007400463357069664,22000,400,2026-09-01T01:01:06.702182+00:00
minitaur_guenther2020LDT,minitaur,study,guenther2020LDT,0.3469421378674048,0.34661234972174343,0.001955188557577876,75870,146,2026-09-01T01:09:05.831343+00:00
minitaur_guenther2022relational,minitaur,study,guenther2022relational,0.7358872420668284,2.784847380204634,0.007347885003192657,22000,400,2026-09-01T01:18:07.808894+00:00
loo_guenther2023ViSpa,ours,study,guenther2023ViSpa,0.34802527646129544,1.3987967686616352,0.0029533548208593124,66110,601,2026-09-01T01:31:31.080289+00:00
base_guenther2023ViSpa,base,study,guenther2023ViSpa,0.3811517339953359,1.5322346957507789,0.003153378291853684,66110,601,2026-09-01T01:48:38.529168+00:00
minitaur_guenther2023ViSpa,minitaur,study,guenther2023ViSpa,0.37894380501015573,1.5232571803969888,0.0031263782894161056,66110,601,2026-09-01T02:05:44.552905+00:00
