experiment,participant_id,item_index,nll_base,nll_minitaur,delta_log_likelihood
Dymarska2025_associations,1,0,7.3125,6.5,0.8125
Dymarska2025_associations,1,1,3.21875,3.173828125,0.044921875
Dymarska2025_associations,1,2,2.5732421875,2.568359375,0.0048828125
Dymarska2025_associations,1,3,7.261474609375,7.08544921875,0.176025390625
Dymarska2025_associations,1,4,17.34375,17.125,0.21875
Dymarska2025_associations,1,5,4.802703857421875,4.7869873046875,0.015716552734375
Dymarska2025_associations,1,6,9.78125,9.5625,0.21875
Dymarska2025_associations,1,7,7.18359375,7.140625,0.04296875
Dymarska2025_associations,1,8,4.390625,4.4287109375,-0.0380859375
Dymarska2025_associations,1,9,8.398193359375,8.491943359375,-0.09375
Dymarska2025_associations,1,10,8.3125,8.328125,-0.015625
Dymarska2025_associations,1,11,5.4375,5.390625,0.046875
Dymarska2025_associations,1,12,6.84375,6.71484375,0.12890625
Dymarska2025_associations,1,13,10.28125,10.0625,0.21875
Dymarska2025_associations,1,14,8.5068359375,8.5673828125,-0.060546875
Dymarska2025_associations,1,15,5.390625,5.2265625,0.1640625
Dymarska2025_associations,1,16,8.0625,7.9375,0.125
Dymarska2025_associations,1,17,4.33984375,4.31640625,0.0234375
Dymarska2025_associations,1,18,8.78515625,8.7431640625,0.0419921875
Dymarska2025_associations,1,19,12.326171875,12.220703125,0.10546875
Dymarska2025_associations,1,20,7.75,7.75,0.0
Dymarska2025_associations,1,21,3.01953125,2.908203125,0.111328125
Dymarska2025_associations,1,22,5.95166015625,5.8310546875,0.12060546875
Dymarska2025_associations,1,23,3.90625,3.90625,0.0
Dymarska2025_associations,1,24,3.7509765625,3.65869140625,0.09228515625
Dymarska2025_associations,1,25,3.1875,3.2421875,-0.0546875
Dymarska2025_associations,1,26,6.4375,6.40625,0.03125
Dymarska2025_associations,1,27,4.1357421875,3.95947265625,0.17626953125
Dymarska2025_associations,1,28,4.04931640625,3.87353515625,0.17578125
Dymarska2025_associations,1,29,5.1484375,5.09375,0.0546875
Dymarska2025_associations,1,30,9.48388671875,9.09326171875,0.390625
Dymarska2025_associations,1,31,6.1484375,6.0703125,0.078125
Dymarska2025_associations,1,32,11.203125,10.921875,0.28125
Dymarska2025_associations,1,33,9.25,9.375,-0.125
Dymarska2025_associations,1,34,9.125,9.0,0.125
Dymarska2025_associations,1,35,6.75,6.78125,-0.03125
Dymarska2025_associations,1,36,10.234375,10.046875,0.1875
Dymarska2025_associations,1,37,11.3592529296875,11.3280029296875,0.03125
Dymarska2025_associations,1,38,8.57421875,8.57421875,0.0
Dymarska2025_associations,1,39,9.640625,9.6875,-0.046875
Dymarska2025_associations,1,40,1.132781982421875,1.0703125,0.062469482421875
Dymarska2025_associations,1,41,5.875,5.8125,0.0625
Dymarska2025_associations,1,42,7.3359375,7.2890625,0.046875
Dymarska2025_associations,1,43,4.818359375,4.740234375,0.078125
Dymarska2025_associations,1,44,6.9375,6.9375,0.0
Dymarska2025_associations,1,45,7.119140625,7.048828125,0.0703125
Dymarska2025_associations,1,46,5.6259765625,5.6201171875,0.005859375
Dymarska2025_associations,1,47,11.53125,11.59375,-0.0625
Dymarska2025_associations,1,48,5.40625,5.4375,-0.03125
Dymarska2025_associations,1,49,7.64453125,7.36328125,0.28125
Dymarska2025_associations,1,50,12.75,13.03125,-0.28125
Dymarska2025_associations,1,51,6.0078125,6.0625,-0.0546875
Dymarska2025_associations,1,52,6.710205078125,6.710205078125,0.0
Dymarska2025_associations,1,53,7.007080078125,6.82763671875,0.179443359375
Dymarska2025_associations,1,54,6.6561279296875,6.617156982421875,0.038970947265625
Dymarska2025_associations,1,55,4.992156982421875,5.070281982421875,-0.078125
Dymarska2025_associations,1,56,9.6875,9.640625,0.046875
Dymarska2025_associations,1,57,18.40625,18.3046875,0.1015625
Dymarska2025_associations,1,58,12.78125,12.9375,-0.15625
Dymarska2025_associations,1,59,4.625,4.5625,0.0625
Dymarska2025_associations,1,60,5.2109375,5.2734375,-0.0625
Dymarska2025_associations,1,61,5.25,5.3125,-0.0625
Dymarska2025_associations,1,62,3.875,3.8125,0.0625
Dymarska2025_associations,1,63,7.875,8.5,-0.625
Dymarska2025_associations,1,64,7.367156982421875,7.414031982421875,-0.046875
Dymarska2025_associations,1,65,3.84375,4.0,-0.15625
Dymarska2025_associations,1,66,6.72265625,6.80859375,-0.0859375
Dymarska2025_associations,1,67,5.3046875,5.24609375,0.05859375
Dymarska2025_associations,1,68,4.74267578125,4.48583984375,0.2568359375
Dymarska2025_associations,1,69,4.75,4.75,0.0
Dymarska2025_associations,1,70,11.91015625,11.8984375,0.01171875
Dymarska2025_associations,1,71,8.875,8.78125,0.09375
Dymarska2025_associations,1,72,3.9375,3.65234375,0.28515625
Dymarska2025_associations,1,73,6.1103515625,6.1376953125,-0.02734375
Dymarska2025_associations,1,74,5.25,5.28125,-0.03125
Dymarska2025_associations,1,75,6.15625,6.09375,0.0625
Dymarska2025_associations,1,76,6.935546875,6.904296875,0.03125
Dymarska2025_associations,1,77,3.9149169921875,4.0867919921875,-0.171875
Dymarska2025_associations,1,78,6.3046875,6.1640625,0.140625
Dymarska2025_associations,1,79,7.96875,8.078125,-0.109375
Dymarska2025_associations,1,80,4.28125,4.4140625,-0.1328125
Dymarska2025_associations,1,81,3.7734375,3.8203125,-0.046875
Dymarska2025_associations,1,82,4.6171875,4.41015625,0.20703125
Dymarska2025_associations,1,83,8.25,8.125,0.125
Dymarska2025_associations,1,84,2.75,2.578125,0.171875
Dymarska2025_associations,1,85,4.209228515625,4.271728515625,-0.0625
Dymarska2025_associations,1,86,6.7734375,6.8203125,-0.046875
Dymarska2025_associations,1,87,5.84375,5.8125,0.03125
Dymarska2025_associations,1,88,5.0,4.9375,0.0625
Dymarska2025_associations,1,89,6.25,6.25,0.0
Dymarska2025_associations,1,90,5.3330078125,5.138671875,0.1943359375
Dymarska2025_associations,1,91,6.484375,6.15625,0.328125
Dymarska2025_associations,1,92,7.4765625,7.3125,0.1640625
Dymarska2025_associations,1,93,4.4189453125,4.4814453125,-0.0625
Dymarska2025_associations,1,94,7.609375,7.65625,-0.046875
Dymarska2025_associations,1,95,9.330078125,9.267578125,0.0625
Dymarska2025_associations,1,96,5.9599609375,5.94775390625,0.01220703125
Dymarska2025_associations,1,97,7.28125,7.09375,0.1875
Dymarska2025_associations,1,98,6.73046875,6.453125,0.27734375
Dymarska2025_associations,1,99,7.34375,7.46875,-0.125
Dymarska2025_associations,1,100,4.419921875,4.56640625,-0.146484375
Dymarska2025_associations,1,101,3.9140625,4.109375,-0.1953125
Dymarska2025_associations,1,102,5.9921875,5.9375,0.0546875
Dymarska2025_associations,1,103,9.9375,9.96875,-0.03125
Dymarska2025_associations,1,104,5.8125,5.78125,0.03125
Dymarska2025_associations,1,105,5.16015625,5.15234375,0.0078125
Dymarska2025_associations,1,106,7.6015625,7.29296875,0.30859375
Dymarska2025_associations,1,107,5.65625,5.75,-0.09375
Dymarska2025_associations,1,108,9.7421875,9.6953125,0.046875
Dymarska2025_associations,1,109,10.1875,10.3125,-0.125
Dymarska2025_associations,1,110,4.742156982421875,4.6953125,0.046844482421875
Dymarska2025_associations,1,111,4.207275390625,4.115234375,0.092041015625
Dymarska2025_associations,1,112,8.6953125,8.8203125,-0.125
Dymarska2025_associations,1,113,5.6875,5.75,-0.0625
Dymarska2025_associations,1,114,4.6328125,4.5703125,0.0625
Dymarska2025_associations,1,115,5.108642578125,5.13232421875,-0.023681640625
Dymarska2025_associations,1,116,9.75,9.7890625,-0.0390625
Dymarska2025_associations,1,117,8.4169921875,8.4150390625,0.001953125
Dymarska2025_associations,1,118,6.796875,6.859375,-0.0625
Dymarska2025_associations,1,119,8.64697265625,8.888671875,-0.24169921875
Dymarska2025_associations,1,120,3.47314453125,3.4189453125,0.05419921875
Dymarska2025_associations,1,121,11.2890625,11.1171875,0.171875
Dymarska2025_associations,1,122,5.34375,5.40625,-0.0625
Dymarska2025_associations,1,123,6.03125,6.25,-0.21875
Dymarska2025_associations,1,124,6.06787109375,6.16162109375,-0.09375
Dymarska2025_associations,1,125,4.34375,4.53125,-0.1875
Dymarska2025_associations,1,126,7.84375,7.90625,-0.0625
Dymarska2025_associations,1,127,7.5,7.28125,0.21875
Dymarska2025_associations,1,128,6.3046875,6.26953125,0.03515625
Dymarska2025_associations,1,129,5.40625,5.5,-0.09375
Dymarska2025_associations,1,130,7.609375,7.39453125,0.21484375
Dymarska2025_associations,1,131,5.210693359375,5.210693359375,0.0
Dymarska2025_associations,1,132,5.234375,5.642578125,-0.408203125
Dymarska2025_associations,1,133,5.5732421875,5.529296875,0.0439453125
Dymarska2025_associations,1,134,4.28125,4.1875,0.09375
Dymarska2025_associations,1,135,6.28125,6.203125,0.078125
Dymarska2025_associations,1,136,5.25,5.2421875,0.0078125
Dymarska2025_associations,1,137,4.4453125,4.5078125,-0.0625
