experiment,participant_id,item_index,nll_base,nll_minitaur,delta_log_likelihood
guenther2024substitutions,1,0,7.03125,6.5625,0.46875
guenther2024substitutions,1,1,20.5155029296875,20.398193359375,0.1173095703125
guenther2024substitutions,1,2,2.658203125,2.771484375,-0.11328125
guenther2024substitutions,1,3,1.71875,1.75,-0.03125
guenther2024substitutions,1,4,3.125,3.09375,0.03125
guenther2024substitutions,1,5,18.734375,19.078125,-0.34375
guenther2024substitutions,1,6,3.71875,3.70703125,0.01171875
guenther2024substitutions,1,7,1.9921875,2.03125,-0.0390625
guenther2024substitutions,1,8,9.2919921875,9.1865234375,0.10546875
guenther2024substitutions,1,9,6.664031982421875,6.570281982421875,0.09375
guenther2024substitutions,1,10,10.390625,10.3125,0.078125
guenther2024substitutions,1,11,4.375,4.40625,-0.03125
guenther2024substitutions,1,12,6.59375,6.46875,0.125
guenther2024substitutions,1,13,5.9375,6.0,-0.0625
guenther2024substitutions,1,14,0.93359375,1.0,-0.06640625
guenther2024substitutions,1,15,3.070281982421875,3.132781982421875,-0.0625
guenther2024substitutions,1,16,9.796844482421877,9.730438232421877,0.06640625
guenther2024substitutions,1,17,9.203125,9.203125,0.0
guenther2024substitutions,1,18,6.16162109375,6.2626953125,-0.10107421875
guenther2024substitutions,1,19,17.03125,16.8125,0.21875
guenther2024substitutions,1,20,1.3515625,1.34375,0.0078125
guenther2024substitutions,1,21,3.3125,3.28125,0.03125
guenther2024substitutions,1,22,1.46875,1.53125,-0.0625
guenther2024substitutions,1,23,11.875,12.03125,-0.15625
guenther2024substitutions,1,24,9.390625,9.71875,-0.328125
guenther2024substitutions,1,25,9.91015625,9.90625,0.00390625
guenther2024substitutions,1,26,14.5625,14.3125,0.25
guenther2024substitutions,1,27,2.015625,2.1875,-0.171875
guenther2024substitutions,1,28,14.32373046875,14.35888671875,-0.03515625
guenther2024substitutions,1,29,7.25,7.3125,-0.0625
guenther2024substitutions,1,30,6.0625,6.03125,0.03125
guenther2024substitutions,1,31,0.63671875,0.71484375,-0.078125
guenther2024substitutions,1,32,7.6875,7.40625,0.28125
guenther2024substitutions,1,33,11.203125,11.203125,0.0
guenther2024substitutions,1,34,0.8944091796875,0.8865966796875,0.0078125
guenther2024substitutions,1,35,2.265625,2.34375,-0.078125
guenther2024substitutions,1,36,1.828094482421875,1.976531982421875,-0.1484375
guenther2024substitutions,1,37,8.421875,8.28125,0.140625
guenther2024substitutions,1,38,4.5341796875,4.5966796875,-0.0625
guenther2024substitutions,1,39,11.4140625,11.421875,-0.0078125
guenther2024substitutions,1,40,0.40625,0.37890625,0.02734375
guenther2024substitutions,1,41,4.7734375,4.5908203125,0.1826171875
guenther2024substitutions,1,42,10.0087890625,9.9912109375,0.017578125
guenther2024substitutions,1,43,9.195281982421877,8.976531982421875,0.21875000000000178
