experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
devardaetal2024_rating,YKSBRQ,0,6.4375,1.3515625,5.0859375
devardaetal2024_rating,YKSBRQ,1,1.5625,2.0,-0.4375
devardaetal2024_rating,YKSBRQ,2,1.484375,1.5859375,-0.1015625
devardaetal2024_rating,YKSBRQ,3,1.171875,1.5625,-0.390625
devardaetal2024_rating,YKSBRQ,4,1.59375,1.1015625,0.4921875
devardaetal2024_rating,YKSBRQ,5,1.2265625,1.0625,0.1640625
devardaetal2024_rating,YKSBRQ,6,1.2109375,1.3125,-0.1015625
devardaetal2024_rating,YKSBRQ,7,1.3828125,1.359375,0.0234375
devardaetal2024_rating,YKSBRQ,8,1.1171875,1.140625,-0.0234375
devardaetal2024_rating,YKSBRQ,9,0.91015625,0.494140625,0.416015625
devardaetal2024_rating,YKSBRQ,10,1.1015625,0.90234375,0.19921875
devardaetal2024_rating,YKSBRQ,11,2.828125,3.859375,-1.03125
devardaetal2024_rating,YKSBRQ,12,1.109375,1.25,-0.140625
devardaetal2024_rating,YKSBRQ,13,3.03125,3.6875,-0.65625
devardaetal2024_rating,YKSBRQ,14,2.5,2.40625,0.09375
devardaetal2024_rating,YKSBRQ,15,1.703125,1.8046875,-0.1015625
devardaetal2024_rating,YKSBRQ,16,1.7734375,1.6328125,0.140625
devardaetal2024_rating,YKSBRQ,17,1.265625,1.328125,-0.0625
devardaetal2024_rating,YKSBRQ,18,1.9609375,1.8515625,0.109375
devardaetal2024_rating,YKSBRQ,19,1.609375,2.046875,-0.4375
devardaetal2024_rating,YKSBRQ,20,2.09375,2.28125,-0.1875
devardaetal2024_rating,YKSBRQ,21,2.15625,1.984375,0.171875
devardaetal2024_rating,YKSBRQ,22,1.7578125,1.6640625,0.09375
devardaetal2024_rating,YKSBRQ,23,1.6875,1.6953125,-0.0078125
devardaetal2024_rating,YKSBRQ,24,1.5078125,1.3671875,0.140625
devardaetal2024_rating,YKSBRQ,25,1.71875,1.8046875,-0.0859375
devardaetal2024_rating,YKSBRQ,26,1.2734375,1.3828125,-0.109375
devardaetal2024_rating,YKSBRQ,27,0.66796875,0.796875,-0.12890625
devardaetal2024_rating,YKSBRQ,28,1.3984375,1.359375,0.0390625
devardaetal2024_rating,YKSBRQ,29,1.2109375,1.21875,-0.0078125
devardaetal2024_rating,YKSBRQ,30,1.453125,1.4453125,0.0078125
devardaetal2024_rating,YKSBRQ,31,1.171875,1.0859375,0.0859375
devardaetal2024_rating,YKSBRQ,32,1.375,0.97265625,0.40234375
devardaetal2024_rating,YKSBRQ,33,1.1328125,1.65625,-0.5234375
devardaetal2024_rating,YKSBRQ,34,1.15625,1.234375,-0.078125
devardaetal2024_rating,YKSBRQ,35,1.1796875,1.34375,-0.1640625
devardaetal2024_rating,YKSBRQ,36,0.84375,0.796875,0.046875
devardaetal2024_rating,YKSBRQ,37,1.1171875,0.9609375,0.15625
devardaetal2024_rating,YKSBRQ,38,1.3203125,1.6171875,-0.296875
devardaetal2024_rating,YKSBRQ,39,1.890625,1.75,0.140625
devardaetal2024_rating,YKSBRQ,40,2.0,2.34375,-0.34375
devardaetal2024_rating,YKSBRQ,41,1.78125,1.71875,0.0625
devardaetal2024_rating,YKSBRQ,42,1.5546875,1.5078125,0.046875
devardaetal2024_rating,YKSBRQ,43,1.7890625,2.25,-0.4609375
devardaetal2024_rating,YKSBRQ,44,1.4609375,1.2578125,0.203125
devardaetal2024_rating,YKSBRQ,45,2.390625,2.59375,-0.203125
devardaetal2024_rating,YKSBRQ,46,1.2734375,1.1796875,0.09375
devardaetal2024_rating,YKSBRQ,47,1.3203125,1.1484375,0.171875
devardaetal2024_rating,YKSBRQ,48,2.625,2.078125,0.546875
devardaetal2024_rating,YKSBRQ,49,1.3359375,1.515625,-0.1796875
devardaetal2024_rating,YKSBRQ,50,1.3125,1.2109375,0.1015625
devardaetal2024_rating,YKSBRQ,51,2.140625,1.4140625,0.7265625
devardaetal2024_rating,YKSBRQ,52,1.96875,1.7109375,0.2578125
devardaetal2024_rating,YKSBRQ,53,0.69921875,0.796875,-0.09765625
devardaetal2024_rating,YKSBRQ,54,0.55078125,0.94140625,-0.390625
devardaetal2024_rating,YKSBRQ,55,0.77734375,1.0390625,-0.26171875
devardaetal2024_rating,YKSBRQ,56,3.28125,3.078125,0.203125
devardaetal2024_rating,YKSBRQ,57,2.53125,1.7109375,0.8203125
devardaetal2024_rating,YKSBRQ,58,2.0,1.734375,0.265625
devardaetal2024_rating,YKSBRQ,59,1.2421875,1.2578125,-0.015625
devardaetal2024_rating,YKSBRQ,60,1.7421875,1.65625,0.0859375
devardaetal2024_rating,YKSBRQ,61,1.390625,1.578125,-0.1875
devardaetal2024_rating,YKSBRQ,62,1.546875,1.8125,-0.265625
devardaetal2024_rating,YKSBRQ,63,0.76171875,1.28125,-0.51953125
devardaetal2024_rating,YKSBRQ,64,1.34375,1.3203125,0.0234375
devardaetal2024_rating,YKSBRQ,65,1.390625,1.75,-0.359375
devardaetal2024_rating,YKSBRQ,66,0.953125,0.8515625,0.1015625
devardaetal2024_rating,YKSBRQ,67,1.5,1.34375,0.15625
devardaetal2024_rating,YKSBRQ,68,2.4375,1.5859375,0.8515625
devardaetal2024_rating,YKSBRQ,69,1.296875,1.3515625,-0.0546875
devardaetal2024_rating,YKSBRQ,70,1.421875,1.21875,0.203125
devardaetal2024_rating,YKSBRQ,71,1.328125,1.0859375,0.2421875
devardaetal2024_rating,YKSBRQ,72,1.265625,1.0703125,0.1953125
devardaetal2024_rating,YKSBRQ,73,1.453125,1.3828125,0.0703125
devardaetal2024_rating,YKSBRQ,74,0.97265625,1.4453125,-0.47265625
devardaetal2024_rating,YKSBRQ,75,0.890625,1.15625,-0.265625
devardaetal2024_rating,YKSBRQ,76,0.69140625,0.76171875,-0.0703125
devardaetal2024_rating,YKSBRQ,77,0.3359375,0.70703125,-0.37109375
devardaetal2024_rating,YKSBRQ,78,0.369140625,0.5625,-0.193359375
devardaetal2024_rating,YKSBRQ,79,0.470703125,0.94140625,-0.470703125
devardaetal2024_rating,YKSBRQ,80,1.71875,1.8203125,-0.1015625
devardaetal2024_rating,YKSBRQ,81,1.1796875,1.0703125,0.109375
devardaetal2024_rating,YKSBRQ,82,2.46875,1.96875,0.5
devardaetal2024_rating,YKSBRQ,83,2.1875,2.65625,-0.46875
devardaetal2024_rating,YKSBRQ,84,1.5625,2.125,-0.5625
devardaetal2024_rating,YKSBRQ,85,2.25,2.9375,-0.6875
devardaetal2024_rating,YKSBRQ,86,1.34375,0.91015625,0.43359375
devardaetal2024_rating,YKSBRQ,87,1.3125,1.609375,-0.296875
devardaetal2024_rating,YKSBRQ,88,1.046875,1.5078125,-0.4609375
devardaetal2024_rating,YKSBRQ,89,0.42578125,0.62890625,-0.203125
devardaetal2024_rating,YKSBRQ,90,0.83203125,1.6328125,-0.80078125
devardaetal2024_rating,YKSBRQ,91,0.416015625,0.81640625,-0.400390625
devardaetal2024_rating,YKSBRQ,92,0.4453125,0.515625,-0.0703125
devardaetal2024_rating,YKSBRQ,93,2.765625,1.5703125,1.1953125
devardaetal2024_rating,YKSBRQ,94,0.71484375,0.62109375,0.09375
devardaetal2024_rating,YKSBRQ,95,0.578125,0.94140625,-0.36328125
devardaetal2024_rating,YKSBRQ,96,0.81640625,1.0078125,-0.19140625
devardaetal2024_rating,YKSBRQ,97,0.5625,0.81640625,-0.25390625
devardaetal2024_rating,YKSBRQ,98,2.09375,1.59375,0.5
devardaetal2024_rating,YKSBRQ,99,0.5234375,0.58984375,-0.06640625
devardaetal2024_rating,YKSBRQ,100,0.625,0.87890625,-0.25390625
devardaetal2024_rating,YKSBRQ,101,0.42578125,0.83984375,-0.4140625
devardaetal2024_rating,YKSBRQ,102,1.8203125,1.6015625,0.21875
devardaetal2024_rating,YKSBRQ,103,3.140625,2.03125,1.109375
devardaetal2024_rating,YKSBRQ,104,1.2734375,1.28125,-0.0078125
devardaetal2024_rating,YKSBRQ,105,0.466796875,0.58203125,-0.115234375
devardaetal2024_rating,YKSBRQ,106,0.330078125,0.421875,-0.091796875
devardaetal2024_rating,YKSBRQ,107,0.435546875,0.69921875,-0.263671875
devardaetal2024_rating,YKSBRQ,108,2.125,1.3828125,0.7421875
devardaetal2024_rating,YKSBRQ,109,1.6328125,1.8046875,-0.171875
devardaetal2024_rating,YKSBRQ,110,2.15625,2.140625,0.015625
devardaetal2024_rating,YKSBRQ,111,1.9140625,1.6328125,0.28125
devardaetal2024_rating,YKSBRQ,112,1.546875,1.234375,0.3125
devardaetal2024_rating,YKSBRQ,113,1.40625,1.453125,-0.046875
devardaetal2024_rating,YKSBRQ,114,1.6953125,1.515625,0.1796875
devardaetal2024_rating,YKSBRQ,115,1.03125,0.58984375,0.44140625
devardaetal2024_rating,YKSBRQ,116,0.546875,0.84375,-0.296875
devardaetal2024_rating,YKSBRQ,117,0.36328125,0.306640625,0.056640625
devardaetal2024_rating,YKSBRQ,118,0.416015625,0.6640625,-0.248046875
devardaetal2024_rating,YKSBRQ,119,2.390625,1.984375,0.40625
devardaetal2024_rating,YKSBRQ,120,1.75,1.7890625,-0.0390625
devardaetal2024_rating,YKSBRQ,121,0.6484375,0.27734375,0.37109375
devardaetal2024_rating,YKSBRQ,122,0.73828125,1.71875,-0.98046875
devardaetal2024_rating,YKSBRQ,123,0.51953125,0.921875,-0.40234375
devardaetal2024_rating,YKSBRQ,124,0.171875,0.357421875,-0.185546875
devardaetal2024_rating,YKSBRQ,125,0.2890625,0.357421875,-0.068359375
