experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
guenther2023ViSpa,1,0,5.51025390625,1.811767578125,3.698486328125
guenther2023ViSpa,1,1,0.484344482421875,0.878875732421875,-0.39453125
guenther2023ViSpa,1,2,0.62890625,0.6484375,-0.01953125
guenther2023ViSpa,1,3,2.375,1.492156982421875,0.882843017578125
guenther2023ViSpa,1,4,2.21875,2.8748779296875,-0.6561279296875
guenther2023ViSpa,1,5,1.3828125,1.39837646484375,-0.01556396484375
guenther2023ViSpa,1,6,2.078125,1.96826171875,0.10986328125
guenther2023ViSpa,1,7,1.328125,1.632781982421875,-0.304656982421875
guenther2023ViSpa,1,8,1.734375,2.046875,-0.3125
guenther2023ViSpa,1,9,1.046875,1.0703125,-0.0234375
guenther2023ViSpa,1,10,0.8828125,0.6640625,0.21875
guenther2023ViSpa,1,11,1.1796875,1.40625,-0.2265625
guenther2023ViSpa,1,12,2.8125,3.53125,-0.71875
guenther2023ViSpa,1,13,0.9453125,0.98828125,-0.04296875
guenther2023ViSpa,1,14,2.078125,1.7890625,0.2890625
guenther2023ViSpa,1,15,1.1328125,1.1875,-0.0546875
guenther2023ViSpa,1,16,0.50390625,0.218719482421875,0.285186767578125
guenther2023ViSpa,1,17,1.080078125,0.443328857421875,0.636749267578125
guenther2023ViSpa,1,18,1.21875,1.296875,-0.078125
guenther2023ViSpa,1,19,0.74609375,0.87890625,-0.1328125
guenther2023ViSpa,1,20,1.65625,1.6171875,0.0390625
guenther2023ViSpa,1,21,1.03125,0.76171875,0.26953125
guenther2023ViSpa,1,22,1.5,1.96875,-0.46875
guenther2023ViSpa,1,23,1.03125,1.0078125,0.0234375
guenther2023ViSpa,1,24,0.53125,0.345703125,0.185546875
guenther2023ViSpa,1,25,0.87109375,0.72265625,0.1484375
guenther2023ViSpa,1,26,2.09375,2.390625,-0.296875
guenther2023ViSpa,1,27,2.046875,1.859375,0.1875
guenther2023ViSpa,1,28,2.125,1.65625,0.46875
guenther2023ViSpa,1,29,0.6328125,0.91796875,-0.28515625
guenther2023ViSpa,1,30,1.1640625,1.328125,-0.1640625
guenther2023ViSpa,1,31,1.71875,1.0625,0.65625
guenther2023ViSpa,1,32,1.328125,0.984375,0.34375
guenther2023ViSpa,1,33,1.328125,1.75,-0.421875
guenther2023ViSpa,1,34,3.0,2.5,0.5
guenther2023ViSpa,1,35,1.0703125,0.70703125,0.36328125
