experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
hilton2021_comprehension,1,0,3.25,0.369140625,2.880859375
hilton2021_comprehension,1,1,0.72265625,0.400390625,0.322265625
hilton2021_comprehension,1,2,0.53125,0.08251953125,0.44873046875
hilton2021_comprehension,1,3,1.09375,2.03125,-0.9375
hilton2021_comprehension,1,4,1.296875,1.71875,-0.421875
hilton2021_comprehension,1,5,0.52734375,0.44140625,0.0859375
hilton2021_comprehension,1,6,0.8125,0.58203125,0.23046875
hilton2021_comprehension,1,7,0.318359375,0.53125,-0.212890625
hilton2021_comprehension,1,8,0.3359375,0.390625,-0.0546875
hilton2021_comprehension,1,9,0.271484375,0.038330078125,0.233154296875
hilton2021_comprehension,1,10,0.19140625,0.12451171875,0.06689453125
hilton2021_comprehension,1,11,1.4140625,2.015625,-0.6015625
hilton2021_comprehension,1,12,0.1650390625,0.10400390625,0.06103515625
hilton2021_comprehension,1,13,0.06787109375,0.0155029296875,0.0523681640625
hilton2021_comprehension,1,14,0.90234375,0.69140625,0.2109375
hilton2021_comprehension,1,15,1.5,1.6015625,-0.1015625
hilton2021_comprehension,1,16,0.05322265625,0.023193359375,0.030029296875
hilton2021_comprehension,1,17,0.8359375,0.4765625,0.359375
hilton2021_comprehension,1,18,0.71484375,0.83203125,-0.1171875
hilton2021_comprehension,1,19,0.2041015625,0.22265625,-0.0185546875
hilton2021_comprehension,1,20,1.9140625,0.9765625,0.9375
hilton2021_comprehension,1,21,0.578125,0.1787109375,0.3994140625
hilton2021_comprehension,1,22,0.98046875,0.828125,0.15234375
hilton2021_comprehension,1,23,0.08251953125,0.0966796875,-0.01416015625
hilton2021_comprehension,1,24,0.2041015625,0.431640625,-0.2275390625
hilton2021_comprehension,1,25,0.578125,0.828125,-0.25
hilton2021_comprehension,1,26,0.03076171875,0.06787109375,-0.037109375
hilton2021_comprehension,1,27,0.390625,0.25390625,0.13671875
hilton2021_comprehension,1,28,0.08251953125,0.158203125,-0.07568359375
hilton2021_comprehension,1,29,0.3515625,0.5234375,-0.171875
hilton2021_comprehension,1,30,0.060546875,0.05322265625,0.00732421875
hilton2021_comprehension,1,31,0.76171875,2.46875,-1.70703125
hilton2021_comprehension,1,32,0.05322265625,0.3125,-0.25927734375
hilton2021_comprehension,1,33,0.828125,1.140625,-0.3125
hilton2021_comprehension,1,34,0.1318359375,0.2041015625,-0.072265625
hilton2021_comprehension,1,35,0.5234375,0.1787109375,0.3447265625
hilton2021_comprehension,1,36,0.578125,0.283203125,0.294921875
hilton2021_comprehension,1,37,1.140625,1.40625,-0.265625
hilton2021_comprehension,1,38,1.40625,1.21875,0.1875
hilton2021_comprehension,1,39,0.4765625,0.3125,0.1640625
hilton2021_comprehension,1,40,1.2265625,0.4765625,0.75
hilton2021_comprehension,1,41,0.828125,1.40625,-0.578125
hilton2021_comprehension,1,42,0.1455078125,0.22265625,-0.0771484375
hilton2021_comprehension,1,43,0.08251953125,0.1845703125,-0.10205078125
hilton2021_comprehension,1,44,0.03076171875,0.25390625,-0.22314453125
hilton2021_comprehension,1,45,2.578125,1.0546875,1.5234375
hilton2021_comprehension,1,46,0.11083984375,0.2041015625,-0.09326171875
hilton2021_comprehension,1,47,1.2265625,1.21875,0.0078125
