experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
Dymarska2025_associations,1,0,7.3125,6.84375,0.46875
Dymarska2025_associations,1,1,3.21875,2.33447265625,0.88427734375
Dymarska2025_associations,1,2,2.5732421875,2.80078125,-0.2275390625
Dymarska2025_associations,1,3,7.261474609375,6.4453125,0.816162109375
Dymarska2025_associations,1,4,17.34375,16.1875,1.15625
Dymarska2025_associations,1,5,4.802703857421875,5.427703857421875,-0.625
Dymarska2025_associations,1,6,9.78125,8.78125,1.0
Dymarska2025_associations,1,7,7.18359375,6.078125,1.10546875
Dymarska2025_associations,1,8,4.390625,4.20458984375,0.18603515625
Dymarska2025_associations,1,9,8.398193359375,8.445068359375,-0.046875
Dymarska2025_associations,1,10,8.3125,7.375,0.9375
Dymarska2025_associations,1,11,5.4375,4.953125,0.484375
Dymarska2025_associations,1,12,6.84375,5.6953125,1.1484375
Dymarska2025_associations,1,13,10.28125,10.25,0.03125
Dymarska2025_associations,1,14,8.5068359375,8.06884765625,0.43798828125
Dymarska2025_associations,1,15,5.390625,4.375,1.015625
Dymarska2025_associations,1,16,8.0625,7.0625,1.0
Dymarska2025_associations,1,17,4.33984375,4.17578125,0.1640625
Dymarska2025_associations,1,18,8.78515625,10.455078125,-1.669921875
Dymarska2025_associations,1,19,12.326171875,12.654296875,-0.328125
Dymarska2025_associations,1,20,7.75,6.875,0.875
Dymarska2025_associations,1,21,3.01953125,2.923828125,0.095703125
Dymarska2025_associations,1,22,5.95166015625,6.425537109375,-0.473876953125
Dymarska2025_associations,1,23,3.90625,4.84375,-0.9375
Dymarska2025_associations,1,24,3.7509765625,3.5263671875,0.224609375
Dymarska2025_associations,1,25,3.1875,3.0,0.1875
Dymarska2025_associations,1,26,6.4375,5.875,0.5625
Dymarska2025_associations,1,27,4.1357421875,3.98046875,0.1552734375
Dymarska2025_associations,1,28,4.04931640625,2.4833984375,1.56591796875
Dymarska2025_associations,1,29,5.1484375,4.7890625,0.359375
Dymarska2025_associations,1,30,9.48388671875,6.1083984375,3.37548828125
Dymarska2025_associations,1,31,6.1484375,6.390625,-0.2421875
Dymarska2025_associations,1,32,11.203125,11.203125,0.0
Dymarska2025_associations,1,33,9.25,9.171875,0.078125
Dymarska2025_associations,1,34,9.125,8.9375,0.1875
Dymarska2025_associations,1,35,6.75,5.375,1.375
Dymarska2025_associations,1,36,10.234375,7.6875,2.546875
Dymarska2025_associations,1,37,11.3592529296875,10.5311279296875,0.828125
Dymarska2025_associations,1,38,8.57421875,8.1025390625,0.4716796875
Dymarska2025_associations,1,39,9.640625,9.328125,0.3125
Dymarska2025_associations,1,40,1.132781982421875,0.54296875,0.589813232421875
Dymarska2025_associations,1,41,5.875,5.3125,0.5625
Dymarska2025_associations,1,42,7.3359375,7.28125,0.0546875
Dymarska2025_associations,1,43,4.818359375,6.57958984375,-1.76123046875
Dymarska2025_associations,1,44,6.9375,7.46875,-0.53125
Dymarska2025_associations,1,45,7.119140625,7.044921875,0.07421875
Dymarska2025_associations,1,46,5.6259765625,4.08837890625,1.53759765625
Dymarska2025_associations,1,47,11.53125,8.80859375,2.72265625
Dymarska2025_associations,1,48,5.40625,5.0625,0.34375
Dymarska2025_associations,1,49,7.64453125,5.716796875,1.927734375
Dymarska2025_associations,1,50,12.75,12.90625,-0.15625
Dymarska2025_associations,1,51,6.0078125,5.453125,0.5546875
Dymarska2025_associations,1,52,6.710205078125,7.288330078125,-0.578125
Dymarska2025_associations,1,53,7.007080078125,5.1424560546875,1.8646240234375
Dymarska2025_associations,1,54,6.6561279296875,6.851531982421875,-0.195404052734375
Dymarska2025_associations,1,55,4.992156982421875,4.3201904296875,0.671966552734375
Dymarska2025_associations,1,56,9.6875,10.015625,-0.328125
Dymarska2025_associations,1,57,18.40625,16.9375,1.46875
Dymarska2025_associations,1,58,12.78125,10.6240234375,2.1572265625
Dymarska2025_associations,1,59,4.625,4.75,-0.125
Dymarska2025_associations,1,60,5.2109375,5.71875,-0.5078125
Dymarska2025_associations,1,61,5.25,4.25,1.0
Dymarska2025_associations,1,62,3.875,3.40625,0.46875
Dymarska2025_associations,1,63,7.875,11.625,-3.75
Dymarska2025_associations,1,64,7.367156982421875,7.335906982421875,0.03125
Dymarska2025_associations,1,65,3.84375,4.5703125,-0.7265625
Dymarska2025_associations,1,66,6.72265625,7.294921875,-0.572265625
Dymarska2025_associations,1,67,5.3046875,5.6875,-0.3828125
