experiment,participant_id,item_index,nll_minitaur,nll_ours,delta_log_likelihood
Dymarska2025_associations,1,0,6.5,7.5625,-1.0625
Dymarska2025_associations,1,1,3.173828125,2.22509765625,0.94873046875
Dymarska2025_associations,1,2,2.568359375,2.8515625,-0.283203125
Dymarska2025_associations,1,3,7.08544921875,5.800750732421875,1.284698486328125
Dymarska2025_associations,1,4,17.125,16.375,0.75
Dymarska2025_associations,1,5,4.7869873046875,4.7607421875,0.0262451171875
Dymarska2025_associations,1,6,9.5625,8.65625,0.90625
Dymarska2025_associations,1,7,7.140625,6.369140625,0.771484375
Dymarska2025_associations,1,8,4.4287109375,4.22412109375,0.20458984375
Dymarska2025_associations,1,9,8.491943359375,8.5155029296875,-0.0235595703125
Dymarska2025_associations,1,10,8.328125,7.8125,0.515625
Dymarska2025_associations,1,11,5.390625,4.859375,0.53125
Dymarska2025_associations,1,12,6.71484375,5.1640625,1.55078125
Dymarska2025_associations,1,13,10.0625,10.328125,-0.265625
Dymarska2025_associations,1,14,8.5673828125,7.929443359375,0.637939453125
Dymarska2025_associations,1,15,5.2265625,4.7734375,0.453125
Dymarska2025_associations,1,16,7.9375,7.28125,0.65625
Dymarska2025_associations,1,17,4.31640625,4.1171875,0.19921875
Dymarska2025_associations,1,18,8.7431640625,9.9375,-1.1943359375
Dymarska2025_associations,1,19,12.220703125,12.6845703125,-0.4638671875
Dymarska2025_associations,1,20,7.75,6.875,0.875
Dymarska2025_associations,1,21,2.908203125,2.97265625,-0.064453125
Dymarska2025_associations,1,22,5.8310546875,6.5291748046875,-0.6981201171875
Dymarska2025_associations,1,23,3.90625,4.1875,-0.28125
Dymarska2025_associations,1,24,3.65869140625,3.394775390625,0.263916015625
Dymarska2025_associations,1,25,3.2421875,3.1015625,0.140625
Dymarska2025_associations,1,26,6.40625,6.125,0.28125
Dymarska2025_associations,1,27,3.95947265625,4.38427734375,-0.4248046875
Dymarska2025_associations,1,28,3.87353515625,2.637939453125,1.235595703125
Dymarska2025_associations,1,29,5.09375,5.40625,-0.3125
Dymarska2025_associations,1,30,9.09326171875,6.31201171875,2.78125
Dymarska2025_associations,1,31,6.0703125,6.8515625,-0.78125
Dymarska2025_associations,1,32,10.921875,10.75,0.171875
Dymarska2025_associations,1,33,9.375,9.25,0.125
Dymarska2025_associations,1,34,9.0,8.375,0.625
Dymarska2025_associations,1,35,6.78125,5.90625,0.875
Dymarska2025_associations,1,36,10.046875,7.857421875,2.189453125
Dymarska2025_associations,1,37,11.3280029296875,10.320068359375,1.0079345703125
Dymarska2025_associations,1,38,8.57421875,8.30517578125,0.26904296875
Dymarska2025_associations,1,39,9.6875,9.328125,0.359375
Dymarska2025_associations,1,40,1.0703125,0.55078125,0.51953125
Dymarska2025_associations,1,41,5.8125,4.625,1.1875
Dymarska2025_associations,1,42,7.2890625,6.96875,0.3203125
Dymarska2025_associations,1,43,4.740234375,5.779296875,-1.0390625
Dymarska2025_associations,1,44,6.9375,6.5,0.4375
Dymarska2025_associations,1,45,7.048828125,6.4609375,0.587890625
Dymarska2025_associations,1,46,5.6201171875,4.710205078125,0.909912109375
Dymarska2025_associations,1,47,11.59375,7.5859375,4.0078125
Dymarska2025_associations,1,48,5.4375,5.25,0.1875
Dymarska2025_associations,1,49,7.36328125,5.80419921875,1.55908203125
Dymarska2025_associations,1,50,13.03125,12.4375,0.59375
Dymarska2025_associations,1,51,6.0625,5.23828125,0.82421875
Dymarska2025_associations,1,52,6.710205078125,6.6092529296875,0.1009521484375
Dymarska2025_associations,1,53,6.82763671875,5.210205078125,1.617431640625
Dymarska2025_associations,1,54,6.617156982421875,5.195281982421875,1.421875
Dymarska2025_associations,1,55,5.070281982421875,4.7108154296875,0.359466552734375
Dymarska2025_associations,1,56,9.640625,9.828125,-0.1875
Dymarska2025_associations,1,57,18.3046875,15.625,2.6796875
Dymarska2025_associations,1,58,12.9375,10.716796875,2.220703125
Dymarska2025_associations,1,59,4.5625,4.25,0.3125
Dymarska2025_associations,1,60,5.2734375,5.9765625,-0.703125
Dymarska2025_associations,1,61,5.3125,3.84375,1.46875
Dymarska2025_associations,1,62,3.8125,4.25,-0.4375
Dymarska2025_associations,1,63,8.5,9.8125,-1.3125
Dymarska2025_associations,1,64,7.414031982421875,7.03125,0.382781982421875
Dymarska2025_associations,1,65,4.0,4.6796875,-0.6796875
Dymarska2025_associations,1,66,6.80859375,6.83251953125,-0.02392578125
Dymarska2025_associations,1,67,5.24609375,5.546875,-0.30078125
Dymarska2025_associations,1,68,4.48583984375,3.86376953125,0.6220703125
Dymarska2025_associations,1,69,4.75,4.4375,0.3125
Dymarska2025_associations,1,70,11.8984375,11.8125,0.0859375
Dymarska2025_associations,1,71,8.78125,7.859375,0.921875
Dymarska2025_associations,1,72,3.65234375,2.26171875,1.390625
Dymarska2025_associations,1,73,6.1376953125,5.73828125,0.3994140625
Dymarska2025_associations,1,74,5.28125,5.1875,0.09375
Dymarska2025_associations,1,75,6.09375,5.1875,0.90625
Dymarska2025_associations,1,76,6.904296875,6.3818359375,0.5224609375
Dymarska2025_associations,1,77,4.0867919921875,4.818328857421875,-0.731536865234375
Dymarska2025_associations,1,78,6.1640625,5.060546875,1.103515625
Dymarska2025_associations,1,79,8.078125,6.953125,1.125
Dymarska2025_associations,1,80,4.4140625,4.921875,-0.5078125
Dymarska2025_associations,1,81,3.8203125,2.8671875,0.953125
Dymarska2025_associations,1,82,4.41015625,3.296875,1.11328125
Dymarska2025_associations,1,83,8.125,7.0625,1.0625
Dymarska2025_associations,1,84,2.578125,1.5,1.078125
Dymarska2025_associations,1,85,4.271728515625,3.830078125,0.441650390625
Dymarska2025_associations,1,86,6.8203125,6.0390625,0.78125
Dymarska2025_associations,1,87,5.8125,5.375,0.4375
Dymarska2025_associations,1,88,4.9375,2.859375,2.078125
Dymarska2025_associations,1,89,6.25,5.375,0.875
Dymarska2025_associations,1,90,5.138671875,3.69921875,1.439453125
Dymarska2025_associations,1,91,6.15625,2.960693359375,3.195556640625
Dymarska2025_associations,1,92,7.3125,5.3592529296875,1.9532470703125
Dymarska2025_associations,1,93,4.4814453125,5.3251953125,-0.84375
Dymarska2025_associations,1,94,7.65625,7.3125,0.34375
Dymarska2025_associations,1,95,9.267578125,10.7734375,-1.505859375
Dymarska2025_associations,1,96,5.94775390625,5.663818359375,0.283935546875
Dymarska2025_associations,1,97,7.09375,3.3203125,3.7734375
Dymarska2025_associations,1,98,6.453125,5.6717529296875,0.7813720703125
Dymarska2025_associations,1,99,7.46875,7.453125,0.015625
Dymarska2025_associations,1,100,4.56640625,4.130859375,0.435546875
Dymarska2025_associations,1,101,4.109375,3.3515625,0.7578125
Dymarska2025_associations,1,102,5.9375,5.578125,0.359375
Dymarska2025_associations,1,103,9.96875,8.578125,1.390625
Dymarska2025_associations,1,104,5.78125,5.75,0.03125
Dymarska2025_associations,1,105,5.15234375,5.640625,-0.48828125
Dymarska2025_associations,1,106,7.29296875,5.8203125,1.47265625
Dymarska2025_associations,1,107,5.75,5.75,0.0
Dymarska2025_associations,1,108,9.6953125,10.59375,-0.8984375
Dymarska2025_associations,1,109,10.3125,9.625,0.6875
Dymarska2025_associations,1,110,4.6953125,4.453125,0.2421875
Dymarska2025_associations,1,111,4.115234375,3.583740234375,0.531494140625
Dymarska2025_associations,1,112,8.8203125,9.359375,-0.5390625
Dymarska2025_associations,1,113,5.75,5.87890625,-0.12890625
Dymarska2025_associations,1,114,4.5703125,3.939453125,0.630859375
Dymarska2025_associations,1,115,5.13232421875,4.5194091796875,0.6129150390625
Dymarska2025_associations,1,116,9.7890625,10.296875,-0.5078125
Dymarska2025_associations,1,117,8.4150390625,8.5,-0.0849609375
Dymarska2025_associations,1,118,6.859375,6.375,0.484375
Dymarska2025_associations,1,119,8.888671875,7.695281982421875,1.193389892578125
Dymarska2025_associations,1,120,3.4189453125,3.882080078125,-0.463134765625
Dymarska2025_associations,1,121,11.1171875,9.5546875,1.5625
Dymarska2025_associations,1,122,5.40625,4.59375,0.8125
Dymarska2025_associations,1,123,6.25,7.25,-1.0
Dymarska2025_associations,1,124,6.16162109375,6.935546875,-0.77392578125
Dymarska2025_associations,1,125,4.53125,5.09375,-0.5625
Dymarska2025_associations,1,126,7.90625,6.625,1.28125
Dymarska2025_associations,1,127,7.28125,8.0625,-0.78125
Dymarska2025_associations,1,128,6.26953125,5.029296875,1.240234375
Dymarska2025_associations,1,129,5.5,5.375,0.125
Dymarska2025_associations,1,130,7.39453125,6.796875,0.59765625
Dymarska2025_associations,1,131,5.210693359375,4.023193359375,1.1875
Dymarska2025_associations,1,132,5.642578125,4.04833984375,1.59423828125
Dymarska2025_associations,1,133,5.529296875,4.75537109375,0.77392578125
Dymarska2025_associations,1,134,4.1875,2.484375,1.703125
Dymarska2025_associations,1,135,6.203125,5.625,0.578125
