experiment,participant_id,item_index,nll
guenther2022relational,1,0,2.37109375
guenther2022relational,1,1,4.01025390625
guenther2022relational,1,2,2.85546875
guenther2022relational,1,3,1.21337890625
guenther2022relational,1,4,1.12109375
guenther2022relational,1,5,0.600830078125
guenther2022relational,1,6,4.34326171875
guenther2022relational,1,7,3.7705078125
guenther2022relational,1,8,3.5166015625
guenther2022relational,1,9,4.44140625
guenther2022relational,1,10,1.859375
guenther2022relational,1,11,0.724609375
guenther2022relational,1,12,0.60546875
guenther2022relational,1,13,2.87109375
guenther2022relational,1,14,0.83447265625
guenther2022relational,1,15,6.9580078125
guenther2022relational,1,16,6.011688232421875
guenther2022relational,1,17,6.3642578125
guenther2022relational,1,18,5.0830078125
guenther2022relational,1,19,2.75537109375
guenther2022relational,1,20,1.25
guenther2022relational,1,21,3.11328125
guenther2022relational,1,22,5.2666015625
guenther2022relational,1,23,1.1865234375
guenther2022relational,1,24,3.7001953125
guenther2022relational,1,25,4.974609375
guenther2022relational,1,26,5.37109375
guenther2022relational,1,27,1.9736328125
guenther2022relational,1,28,0.79931640625
guenther2022relational,1,29,5.546875
guenther2022relational,1,30,4.4228515625
guenther2022relational,1,31,3.455078125
guenther2022relational,1,32,4.3095703125
guenther2022relational,1,33,3.298828125
guenther2022relational,1,34,0.9033203125
guenther2022relational,1,35,2.2041015625
guenther2022relational,1,36,1.1494140625
guenther2022relational,1,37,3.7158203125
guenther2022relational,1,38,2.48828125
guenther2022relational,1,39,4.251953125
guenther2022relational,1,40,2.35888671875
guenther2022relational,1,41,1.24853515625
guenther2022relational,1,42,2.453125
guenther2022relational,1,43,4.88525390625
guenther2022relational,1,44,3.009765625
guenther2022relational,1,45,3.5380859375
guenther2022relational,1,46,4.9482421875
guenther2022relational,1,47,0.98486328125
guenther2022relational,1,48,3.2353515625
guenther2022relational,1,49,4.26708984375
guenther2022relational,1,50,2.7705078125
guenther2022relational,1,51,4.58984375
guenther2022relational,1,52,1.669921875
guenther2022relational,1,53,4.5791015625
guenther2022relational,1,54,3.09326171875
guenther2022relational,2,0,3.97900390625
guenther2022relational,2,1,1.609375
guenther2022relational,2,2,3.3037109375
guenther2022relational,2,3,4.818359375
guenther2022relational,2,4,1.1640625
guenther2022relational,2,5,6.45703125
guenther2022relational,2,6,1.5693359375
guenther2022relational,2,7,2.75146484375
guenther2022relational,2,8,0.4873046875
guenther2022relational,2,9,3.578125
guenther2022relational,2,10,2.181640625
guenther2022relational,2,11,1.515625
guenther2022relational,2,12,1.3984375
guenther2022relational,2,13,1.8759765625
guenther2022relational,2,14,6.55126953125
guenther2022relational,2,15,2.6953125
guenther2022relational,2,16,6.5908203125
guenther2022relational,2,17,1.810546875
guenther2022relational,2,18,1.1318359375
guenther2022relational,2,19,4.8671875
guenther2022relational,2,20,2.619140625
guenther2022relational,2,21,4.5703125
guenther2022relational,2,22,1.62890625
guenther2022relational,2,23,6.8203125
guenther2022relational,2,24,1.68359375
guenther2022relational,2,25,2.3916015625
guenther2022relational,2,26,3.529296875
guenther2022relational,2,27,2.166015625
guenther2022relational,2,28,1.546875
guenther2022relational,2,29,3.0625
guenther2022relational,2,30,3.6416015625
guenther2022relational,2,31,1.7255859375
guenther2022relational,2,32,2.9375
guenther2022relational,2,33,2.2109375
guenther2022relational,2,34,1.69140625
guenther2022relational,2,35,2.26953125
guenther2022relational,2,36,1.9248046875
guenther2022relational,2,37,3.005859375
guenther2022relational,2,38,2.07421875
guenther2022relational,2,39,2.408203125
guenther2022relational,2,40,2.41796875
guenther2022relational,2,41,1.4208984375
guenther2022relational,2,42,3.439453125
guenther2022relational,2,43,1.533203125
guenther2022relational,2,44,1.69140625
guenther2022relational,2,45,3.6328125
guenther2022relational,2,46,4.328125
guenther2022relational,2,47,3.9189453125
guenther2022relational,2,48,3.1640625
guenther2022relational,2,49,2.109375
guenther2022relational,2,50,1.169921875
guenther2022relational,2,51,5.3505859375
guenther2022relational,2,52,2.41650390625
guenther2022relational,2,53,5.15625
guenther2022relational,2,54,2.2275390625
guenther2022relational,3,0,0.43701171875
guenther2022relational,3,1,1.288818359375
guenther2022relational,3,2,7.501953125
guenther2022relational,3,3,3.5869140625
guenther2022relational,3,4,2.71142578125
guenther2022relational,3,5,3.23046875
guenther2022relational,3,6,2.8642578125
guenther2022relational,3,7,2.5390625
guenther2022relational,3,8,5.33642578125
guenther2022relational,3,9,3.0517578125
guenther2022relational,3,10,2.0146484375
guenther2022relational,3,11,1.46240234375
guenther2022relational,3,12,3.7421875
guenther2022relational,3,13,3.25390625
guenther2022relational,3,14,1.5234375
guenther2022relational,3,15,3.6640625
guenther2022relational,3,16,0.86328125
guenther2022relational,3,17,5.828125
guenther2022relational,3,18,3.05078125
guenther2022relational,3,19,4.10400390625
guenther2022relational,3,20,4.12890625
guenther2022relational,3,21,1.07421875
guenther2022relational,3,22,0.5908203125
guenther2022relational,3,23,2.58642578125
guenther2022relational,3,24,3.8232421875
guenther2022relational,3,25,1.98046875
guenther2022relational,3,26,1.822265625
guenther2022relational,3,27,0.73046875
guenther2022relational,3,28,4.8349609375
guenther2022relational,3,29,4.11572265625
guenther2022relational,3,30,3.216796875
guenther2022relational,3,31,2.1142578125
guenther2022relational,3,32,1.9970703125
guenther2022relational,3,33,1.64453125
guenther2022relational,3,34,4.7705078125
guenther2022relational,3,35,1.8994140625
guenther2022relational,3,36,1.30859375
guenther2022relational,3,37,3.7421875
guenther2022relational,3,38,3.678955078125
guenther2022relational,3,39,2.490234375
guenther2022relational,3,40,6.72265625
guenther2022relational,3,41,1.578125
guenther2022relational,3,42,1.61865234375
guenther2022relational,3,43,1.7802734375
guenther2022relational,3,44,2.591796875
guenther2022relational,3,45,2.34765625
guenther2022relational,3,46,5.654296875
guenther2022relational,3,47,2.20458984375
guenther2022relational,3,48,4.5419921875
guenther2022relational,3,49,1.73046875
guenther2022relational,3,50,3.9365234375
guenther2022relational,3,51,2.975830078125
guenther2022relational,3,52,1.6416015625
guenther2022relational,3,53,2.4580078125
guenther2022relational,3,54,1.142578125
guenther2022relational,4,0,3.234375
guenther2022relational,4,1,3.90576171875
guenther2022relational,4,2,4.7001953125
guenther2022relational,4,3,1.1630859375
guenther2022relational,4,4,0.11328125
guenther2022relational,4,5,2.3017578125
guenther2022relational,4,6,3.35400390625
