experiment,participant_id,item_index,nll
guenther2023ViSpa,1,0,1.811767578125
guenther2023ViSpa,1,1,0.878875732421875
guenther2023ViSpa,1,2,0.6484375
guenther2023ViSpa,1,3,1.492156982421875
guenther2023ViSpa,1,4,2.8748779296875
guenther2023ViSpa,1,5,1.39837646484375
guenther2023ViSpa,1,6,1.96826171875
guenther2023ViSpa,1,7,1.632781982421875
guenther2023ViSpa,1,8,2.046875
guenther2023ViSpa,1,9,1.0703125
guenther2023ViSpa,1,10,0.6640625
guenther2023ViSpa,1,11,1.40625
guenther2023ViSpa,1,12,3.53125
guenther2023ViSpa,1,13,0.98828125
guenther2023ViSpa,1,14,1.7890625
guenther2023ViSpa,1,15,1.1875
guenther2023ViSpa,1,16,0.218719482421875
guenther2023ViSpa,1,17,0.443328857421875
guenther2023ViSpa,1,18,1.296875
guenther2023ViSpa,1,19,0.87890625
guenther2023ViSpa,1,20,1.6171875
guenther2023ViSpa,1,21,0.76171875
guenther2023ViSpa,1,22,1.96875
guenther2023ViSpa,1,23,1.0078125
guenther2023ViSpa,1,24,0.345703125
guenther2023ViSpa,1,25,0.72265625
guenther2023ViSpa,1,26,2.390625
guenther2023ViSpa,1,27,1.859375
guenther2023ViSpa,1,28,1.65625
guenther2023ViSpa,1,29,0.91796875
guenther2023ViSpa,1,30,1.328125
guenther2023ViSpa,1,31,1.0625
guenther2023ViSpa,1,32,0.984375
guenther2023ViSpa,1,33,1.75
guenther2023ViSpa,1,34,2.5
guenther2023ViSpa,1,35,0.70703125
guenther2023ViSpa,1,36,1.1875
guenther2023ViSpa,1,37,1.1953125
guenther2023ViSpa,1,38,0.890625
guenther2023ViSpa,1,39,1.640625
guenther2023ViSpa,1,40,2.03125
guenther2023ViSpa,1,41,1.484375
guenther2023ViSpa,1,42,1.15625
guenther2023ViSpa,1,43,1.0623779296875
guenther2023ViSpa,1,44,0.625
guenther2023ViSpa,1,45,2.4375
guenther2023ViSpa,1,46,1.609375
guenther2023ViSpa,1,47,0.4453125
guenther2023ViSpa,1,48,1.609375
guenther2023ViSpa,1,49,1.359375
guenther2023ViSpa,1,50,1.6484375
guenther2023ViSpa,1,51,0.73828125
guenther2023ViSpa,1,52,2.109375
guenther2023ViSpa,1,53,1.1015625
guenther2023ViSpa,1,54,2.421875
guenther2023ViSpa,1,55,1.578125
guenther2023ViSpa,1,56,1.859375
guenther2023ViSpa,1,57,0.44140625
guenther2023ViSpa,1,58,2.53125
guenther2023ViSpa,1,59,2.21875
guenther2023ViSpa,1,60,1.1328125
guenther2023ViSpa,1,61,2.515625
guenther2023ViSpa,1,62,1.2265625
guenther2023ViSpa,1,63,1.328125
guenther2023ViSpa,1,64,0.83203125
guenther2023ViSpa,1,65,0.83203125
guenther2023ViSpa,1,66,1.0
guenther2023ViSpa,1,67,1.15625
guenther2023ViSpa,1,68,1.4375
guenther2023ViSpa,1,69,0.66796875
guenther2023ViSpa,1,70,1.34375
guenther2023ViSpa,1,71,0.76171875
guenther2023ViSpa,1,72,1.3046875
guenther2023ViSpa,1,73,1.75
guenther2023ViSpa,1,74,1.03125
guenther2023ViSpa,1,75,0.91015625
guenther2023ViSpa,1,76,0.55078125
guenther2023ViSpa,1,77,1.40625
guenther2023ViSpa,1,78,1.21875
guenther2023ViSpa,1,79,0.6484375
guenther2023ViSpa,1,80,3.515625
guenther2023ViSpa,1,81,1.5703125
guenther2023ViSpa,1,82,2.140625
guenther2023ViSpa,1,83,0.62890625
guenther2023ViSpa,1,84,1.4453125
guenther2023ViSpa,1,85,1.484375
guenther2023ViSpa,1,86,1.3828125
guenther2023ViSpa,1,87,0.9453125
guenther2023ViSpa,1,88,1.453125
guenther2023ViSpa,1,89,3.046875
guenther2023ViSpa,1,90,1.359375
guenther2023ViSpa,1,91,1.4453125
guenther2023ViSpa,1,92,1.234375
guenther2023ViSpa,1,93,0.98828125
guenther2023ViSpa,1,94,1.46875
guenther2023ViSpa,1,95,3.703125
guenther2023ViSpa,1,96,1.109375
guenther2023ViSpa,1,97,0.3359375
guenther2023ViSpa,1,98,0.466796875
guenther2023ViSpa,1,99,1.0625
guenther2023ViSpa,1,100,3.953125
guenther2023ViSpa,1,101,1.390625
guenther2023ViSpa,1,102,2.140625
guenther2023ViSpa,1,103,1.453125
guenther2023ViSpa,1,104,1.9921875
guenther2023ViSpa,1,105,0.84375
guenther2023ViSpa,1,106,0.5234375
guenther2023ViSpa,1,107,0.6796875
guenther2023ViSpa,1,108,1.234375
guenther2023ViSpa,1,109,1.6640625
guenther2023ViSpa,2,0,1.0537109375
guenther2023ViSpa,2,1,1.906219482421875
guenther2023ViSpa,2,2,0.6015625
guenther2023ViSpa,2,3,4.195281982421875
guenther2023ViSpa,2,4,1.28857421875
guenther2023ViSpa,2,5,1.453125
guenther2023ViSpa,2,6,2.859375
guenther2023ViSpa,2,7,0.796875
guenther2023ViSpa,2,8,2.203125
guenther2023ViSpa,2,9,1.3515625
guenther2023ViSpa,2,10,0.9423828125
guenther2023ViSpa,2,11,0.980438232421875
guenther2023ViSpa,2,12,0.4951171875
guenther2023ViSpa,2,13,0.6484375
guenther2023ViSpa,2,14,0.83203125
guenther2023ViSpa,2,15,0.384765625
guenther2023ViSpa,2,16,0.7890625
guenther2023ViSpa,2,17,1.3046875
guenther2023ViSpa,2,18,1.4609375
guenther2023ViSpa,2,19,2.28125
guenther2023ViSpa,2,20,1.15625
guenther2023ViSpa,2,21,0.84765625
guenther2023ViSpa,2,22,1.03125
guenther2023ViSpa,2,23,2.6875
guenther2023ViSpa,2,24,1.4921875
guenther2023ViSpa,2,25,1.3671875
guenther2023ViSpa,2,26,0.75390625
guenther2023ViSpa,2,27,0.7890625
guenther2023ViSpa,2,28,1.8671875
guenther2023ViSpa,2,29,0.494140625
guenther2023ViSpa,2,30,0.5
guenther2023ViSpa,2,31,0.3125
guenther2023ViSpa,2,32,1.234375
guenther2023ViSpa,2,33,1.015625
guenther2023ViSpa,2,34,1.15625
guenther2023ViSpa,2,35,1.765625
guenther2023ViSpa,2,36,2.453125
guenther2023ViSpa,2,37,0.953125
guenther2023ViSpa,2,38,0.55859375
guenther2023ViSpa,2,39,0.43359375
guenther2023ViSpa,2,40,1.8671875
guenther2023ViSpa,2,41,0.390625
guenther2023ViSpa,2,42,2.109375
guenther2023ViSpa,2,43,0.390625
guenther2023ViSpa,2,44,1.046875
guenther2023ViSpa,2,45,1.1875
guenther2023ViSpa,2,46,1.0625
guenther2023ViSpa,2,47,1.40625
guenther2023ViSpa,2,48,1.390625
guenther2023ViSpa,2,49,1.828125
guenther2023ViSpa,2,50,2.03125
guenther2023ViSpa,2,51,1.7109375
guenther2023ViSpa,2,52,1.0703125
guenther2023ViSpa,2,53,1.3828125
guenther2023ViSpa,2,54,0.5859375
guenther2023ViSpa,2,55,0.546875
guenther2023ViSpa,2,56,1.484375
guenther2023ViSpa,2,57,0.86328125
guenther2023ViSpa,2,58,1.859375
guenther2023ViSpa,2,59,1.828125
guenther2023ViSpa,2,60,2.015625
guenther2023ViSpa,2,61,1.78125
guenther2023ViSpa,2,62,2.921875
guenther2023ViSpa,2,63,1.578125
guenther2023ViSpa,2,64,0.76171875
guenther2023ViSpa,2,65,1.0
guenther2023ViSpa,2,66,0.9453125
guenther2023ViSpa,2,67,1.453125
guenther2023ViSpa,2,68,1.90625
guenther2023ViSpa,2,69,0.71484375
guenther2023ViSpa,2,70,1.8125
guenther2023ViSpa,2,71,0.99609375
guenther2023ViSpa,2,72,2.171875
guenther2023ViSpa,2,73,1.484375
guenther2023ViSpa,2,74,0.6640625
guenther2023ViSpa,2,75,3.109375
guenther2023ViSpa,2,76,1.015625
guenther2023ViSpa,2,77,0.69921875
guenther2023ViSpa,2,78,7.1328125
guenther2023ViSpa,2,79,3.28125
guenther2023ViSpa,2,80,1.7734375
guenther2023ViSpa,2,81,1.203125
guenther2023ViSpa,2,82,0.546875
guenther2023ViSpa,2,83,1.6328125
guenther2023ViSpa,2,84,1.78125
guenther2023ViSpa,2,85,1.796875
guenther2023ViSpa,2,86,0.486328125
guenther2023ViSpa,2,87,1.71875
guenther2023ViSpa,2,88,1.9296875
guenther2023ViSpa,2,89,0.8125
guenther2023ViSpa,2,90,3.9375
guenther2023ViSpa,2,91,0.921875
guenther2023ViSpa,2,92,1.5859375
guenther2023ViSpa,2,93,1.71875
guenther2023ViSpa,2,94,1.14453125
guenther2023ViSpa,2,95,1.8984375
guenther2023ViSpa,2,96,1.015625
guenther2023ViSpa,2,97,1.9375
guenther2023ViSpa,2,98,2.171875
guenther2023ViSpa,2,99,2.015625
guenther2023ViSpa,2,100,0.87890625
guenther2023ViSpa,2,101,1.28125
guenther2023ViSpa,2,102,0.8125
guenther2023ViSpa,2,103,0.64453125
guenther2023ViSpa,2,104,3.046875
guenther2023ViSpa,2,105,1.09375
guenther2023ViSpa,2,106,3.9375
guenther2023ViSpa,2,107,0.22265625
guenther2023ViSpa,2,108,2.0
guenther2023ViSpa,2,109,2.609375
guenther2023ViSpa,3,0,2.060028076171875
guenther2023ViSpa,3,1,1.6796875
guenther2023ViSpa,3,2,0.373046875
guenther2023ViSpa,3,3,0.46630859375
guenther2023ViSpa,3,4,0.216796875
guenther2023ViSpa,3,5,1.0546875
guenther2023ViSpa,3,6,2.9375
guenther2023ViSpa,3,7,1.109375
guenther2023ViSpa,3,8,0.76171875
guenther2023ViSpa,3,9,1.367156982421875
guenther2023ViSpa,3,10,0.216796875
