experiment,participant_id,item_index,nll
guenther2024substitutions,1,0,4.125
guenther2024substitutions,1,1,18.21826171875
guenther2024substitutions,1,2,2.904296875
guenther2024substitutions,1,3,1.359375
guenther2024substitutions,1,4,3.234375
guenther2024substitutions,1,5,18.9375
guenther2024substitutions,1,6,3.5859375
guenther2024substitutions,1,7,1.5703125
guenther2024substitutions,1,8,8.05029296875
guenther2024substitutions,1,9,6.476531982421875
guenther2024substitutions,1,10,9.125
guenther2024substitutions,1,11,3.65625
guenther2024substitutions,1,12,5.125
guenther2024substitutions,1,13,5.40625
guenther2024substitutions,1,14,0.86328125
guenther2024substitutions,1,15,2.65625
guenther2024substitutions,1,16,9.7655029296875
guenther2024substitutions,1,17,9.3125
guenther2024substitutions,1,18,5.810546875
guenther2024substitutions,1,19,12.5625
guenther2024substitutions,1,20,0.69921875
guenther2024substitutions,1,21,2.640625
guenther2024substitutions,1,22,1.078125
guenther2024substitutions,1,23,12.25
guenther2024substitutions,1,24,9.53125
guenther2024substitutions,1,25,8.400390625
guenther2024substitutions,1,26,14.875
guenther2024substitutions,1,27,1.7265625
guenther2024substitutions,1,28,14.0625
guenther2024substitutions,1,29,7.5625
guenther2024substitutions,1,30,6.125
guenther2024substitutions,1,31,0.83203125
guenther2024substitutions,1,32,3.3671875
guenther2024substitutions,1,33,10.640625
guenther2024substitutions,1,34,0.8123779296875
guenther2024substitutions,1,35,3.0
guenther2024substitutions,1,36,1.460906982421875
guenther2024substitutions,1,37,7.3671875
guenther2024substitutions,1,38,4.638671875
guenther2024substitutions,1,39,9.30859375
guenther2024substitutions,1,40,0.2421875
guenther2024substitutions,1,41,5.14892578125
guenther2024substitutions,1,42,10.591796875
guenther2024substitutions,1,43,10.867156982421875
guenther2024substitutions,1,44,4.8154296875
guenther2024substitutions,1,45,9.1875
guenther2024substitutions,1,46,7.0
guenther2024substitutions,1,47,2.09765625
guenther2024substitutions,1,48,17.9765625
guenther2024substitutions,1,49,1.0146484375
guenther2024substitutions,1,50,3.5625
guenther2024substitutions,1,51,1.046875
guenther2024substitutions,1,52,19.828125
guenther2024substitutions,1,53,5.2900390625
guenther2024substitutions,1,54,16.40625
guenther2024substitutions,1,55,4.203125
guenther2024substitutions,1,56,1.7109375
guenther2024substitutions,1,57,8.625
guenther2024substitutions,1,58,1.625
guenther2024substitutions,1,59,15.1015625
guenther2024substitutions,1,60,13.29296875
guenther2024substitutions,1,61,0.921875
guenther2024substitutions,1,62,3.375
guenther2024substitutions,1,63,2.55322265625
guenther2024substitutions,1,64,3.671875
guenther2024substitutions,1,65,12.1875
guenther2024substitutions,1,66,3.349609375
guenther2024substitutions,1,67,3.34375
