experiment,participant_id,item_index,nll
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,0,1.8984375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,1,7.53125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,2,5.625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,3,2.3125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,4,1.4609375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,5,1.796875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,6,0.9296875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,7,5.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,8,8.9375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,9,6.638671875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,10,1.140625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,11,2.21875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,12,0.8046875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,13,1.5546875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,14,2.375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,15,5.21875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,16,8.09765625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,17,1.328125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,18,1.8125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,19,0.5546875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,20,0.94140625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,21,5.59375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,22,9.796875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,23,4.75
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,24,1.40625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,25,1.3125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,26,0.515625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,27,0.400390625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,28,8.0625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,29,5.09375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,30,3.9453125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,31,1.109375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,32,2.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,33,1.734375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,34,0.66796875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,35,6.53125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,36,4.0625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,37,3.92333984375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,38,2.6875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,39,1.6875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,40,1.2890625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,41,3.765625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,42,2.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,43,6.757781982421875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,44,5.65625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,45,2.265625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,46,1.1484375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,47,1.359375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,48,1.1484375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,49,19.0625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,50,6.7265625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,51,4.0625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,52,3.0625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,53,1.375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,54,1.25
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,55,1.5
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,56,3.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,57,2.703125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,58,2.578125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,59,3.46875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,60,2.59375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,61,1.59375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,62,1.8515625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,63,2.15625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,64,5.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,65,4.2578125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,66,1.5859375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,67,1.8046875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,68,0.83203125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,69,3.421875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,0,0.5078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,1,8.6875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,2,10.734375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,3,1.3828125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,4,2.109375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,5,0.78125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,6,1.484375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,7,11.5
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,8,10.0771484375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,9,5.5146484375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,10,0.82421875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,11,3.625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,12,2.6875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,13,1.0859375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,14,4.78125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,15,3.53125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,16,1.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,17,0.73828125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,18,1.6796875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,19,3.71875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,20,7.25
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,21,2.671875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,22,0.36328125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,23,0.294921875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,24,1.9375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,25,0.73046875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,26,11.09326171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,27,2.84375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,28,8.9208984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,29,1.28125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,30,1.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,31,0.65234375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,32,2.265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,33,6.3125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,34,17.8125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,35,6.9375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,36,0.87890625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,37,1.796875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,38,1.15625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,39,1.015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,40,12.59375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,41,7.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,42,10.439453125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,43,0.94140625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,44,1.1328125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,45,0.76171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,46,0.67578125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,47,9.0625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,48,8.75
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,49,6.83447265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,50,0.61328125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,51,1.015625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,52,0.5546875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,53,0.96484375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,54,1.59375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,55,9.34375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,56,0.9453125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,57,0.69921875
