experiment,participant_id,item_index,nll
devardaetal2024_cloze,YICCWP,0,10.0625
devardaetal2024_cloze,YICCWP,1,4.0
devardaetal2024_cloze,YICCWP,2,5.25
devardaetal2024_cloze,YICCWP,3,5.5625
devardaetal2024_cloze,YICCWP,4,5.4375
devardaetal2024_cloze,YICCWP,5,0.55078125
devardaetal2024_cloze,YICCWP,6,1.1015625
devardaetal2024_cloze,YICCWP,7,3.40625
devardaetal2024_cloze,YICCWP,8,6.96875
devardaetal2024_cloze,YICCWP,9,9.875
devardaetal2024_cloze,YICCWP,10,3.109375
devardaetal2024_cloze,YICCWP,11,2.375
devardaetal2024_cloze,YICCWP,12,1.125
devardaetal2024_cloze,YICCWP,13,1.1875
devardaetal2024_cloze,YICCWP,14,1.921875
devardaetal2024_cloze,YICCWP,15,0.9453125
devardaetal2024_cloze,YICCWP,16,2.953125
devardaetal2024_cloze,YICCWP,17,8.75
devardaetal2024_cloze,YICCWP,18,4.9140625
devardaetal2024_cloze,YICCWP,19,2.984375
devardaetal2024_cloze,YICCWP,20,5.9375
devardaetal2024_cloze,YICCWP,21,3.5
devardaetal2024_cloze,YICCWP,22,2.6796875
devardaetal2024_cloze,YICCWP,23,3.515625
devardaetal2024_cloze,YICCWP,24,7.15625
devardaetal2024_cloze,YICCWP,25,4.0
devardaetal2024_cloze,YICCWP,26,2.1875
devardaetal2024_cloze,YICCWP,27,10.1376953125
devardaetal2024_cloze,YICCWP,28,1.0859375
devardaetal2024_cloze,YICCWP,29,0.39453125
devardaetal2024_cloze,YICCWP,30,0.40625
devardaetal2024_cloze,YICCWP,31,5.03125
devardaetal2024_cloze,YICCWP,32,0.87109375
devardaetal2024_cloze,YICCWP,33,4.375
devardaetal2024_cloze,YICCWP,34,1.8203125
devardaetal2024_cloze,YICCWP,35,3.1875
devardaetal2024_cloze,YICCWP,36,1.9453125
devardaetal2024_cloze,YICCWP,37,1.2578125
devardaetal2024_cloze,YICCWP,38,2.703125
devardaetal2024_cloze,YICCWP,39,0.51953125
devardaetal2024_cloze,YICCWP,40,3.22265625
devardaetal2024_cloze,YICCWP,41,1.53125
devardaetal2024_cloze,YICCWP,42,0.12451171875
devardaetal2024_cloze,YICCWP,43,2.46875
devardaetal2024_cloze,YICCWP,44,2.125
devardaetal2024_cloze,YICCWP,45,1.28125
devardaetal2024_cloze,YICCWP,46,3.6669921875
devardaetal2024_cloze,YICCWP,47,7.92822265625
devardaetal2024_cloze,YICCWP,48,5.25
devardaetal2024_cloze,YICCWP,49,1.9921875
devardaetal2024_cloze,YICCWP,50,0.722625732421875
devardaetal2024_cloze,YICCWP,51,0.1650390625
devardaetal2024_cloze,YICCWP,52,7.8125
devardaetal2024_cloze,YICCWP,53,3.789031982421875
devardaetal2024_cloze,YICCWP,54,2.140625
devardaetal2024_cloze,YICCWP,55,0.5859375
devardaetal2024_cloze,YICCWP,56,1.0859375
devardaetal2024_cloze,YICCWP,57,1.015625
devardaetal2024_cloze,YICCWP,58,3.289031982421875
devardaetal2024_cloze,YICCWP,59,0.0458984375
devardaetal2024_cloze,YICCWP,60,3.21484375
devardaetal2024_cloze,YICCWP,61,1.8359375
devardaetal2024_cloze,YICCWP,62,4.84375
devardaetal2024_cloze,YICCWP,63,1.484375
devardaetal2024_cloze,YICCWP,64,1.84375
devardaetal2024_cloze,YICCWP,65,0.890625
devardaetal2024_cloze,YICCWP,66,3.46875
devardaetal2024_cloze,YICCWP,67,4.25
devardaetal2024_cloze,YICCWP,68,0.470703125
devardaetal2024_cloze,YICCWP,69,5.84375
