experiment,participant_id,item_index,nll
guenther2024substitutions,1,0,6.5625
guenther2024substitutions,1,1,20.398193359375
guenther2024substitutions,1,2,2.771484375
guenther2024substitutions,1,3,1.75
guenther2024substitutions,1,4,3.09375
guenther2024substitutions,1,5,19.078125
guenther2024substitutions,1,6,3.70703125
guenther2024substitutions,1,7,2.03125
guenther2024substitutions,1,8,9.1865234375
guenther2024substitutions,1,9,6.570281982421875
guenther2024substitutions,1,10,10.3125
guenther2024substitutions,1,11,4.40625
guenther2024substitutions,1,12,6.46875
guenther2024substitutions,1,13,6.0
guenther2024substitutions,1,14,1.0
guenther2024substitutions,1,15,3.132781982421875
guenther2024substitutions,1,16,9.730438232421875
guenther2024substitutions,1,17,9.203125
guenther2024substitutions,1,18,6.2626953125
guenther2024substitutions,1,19,16.8125
guenther2024substitutions,1,20,1.34375
guenther2024substitutions,1,21,3.28125
guenther2024substitutions,1,22,1.53125
guenther2024substitutions,1,23,12.03125
guenther2024substitutions,1,24,9.71875
guenther2024substitutions,1,25,9.90625
guenther2024substitutions,1,26,14.3125
guenther2024substitutions,1,27,2.1875
guenther2024substitutions,1,28,14.35888671875
guenther2024substitutions,1,29,7.3125
guenther2024substitutions,1,30,6.03125
guenther2024substitutions,1,31,0.71484375
guenther2024substitutions,1,32,7.40625
guenther2024substitutions,1,33,11.203125
guenther2024substitutions,1,34,0.8865966796875
guenther2024substitutions,1,35,2.34375
guenther2024substitutions,1,36,1.976531982421875
guenther2024substitutions,1,37,8.28125
guenther2024substitutions,1,38,4.5966796875
guenther2024substitutions,1,39,11.421875
guenther2024substitutions,1,40,0.37890625
guenther2024substitutions,1,41,4.5908203125
guenther2024substitutions,1,42,9.9912109375
guenther2024substitutions,1,43,8.976531982421875
guenther2024substitutions,1,44,5.6318359375
guenther2024substitutions,1,45,10.4375
guenther2024substitutions,1,46,6.875
guenther2024substitutions,1,47,4.5625
guenther2024substitutions,1,48,20.21875
guenther2024substitutions,1,49,2.5126953125
guenther2024substitutions,1,50,3.40625
guenther2024substitutions,1,51,1.3515625
guenther2024substitutions,1,52,23.65625
guenther2024substitutions,1,53,6.98828125
guenther2024substitutions,1,54,17.34375
guenther2024substitutions,1,55,4.96875
guenther2024substitutions,1,56,6.3125
guenther2024substitutions,1,57,6.125
guenther2024substitutions,1,58,1.484375
guenther2024substitutions,1,59,14.3984375
guenther2024substitutions,1,60,12.671875
guenther2024substitutions,1,61,1.1171875
guenther2024substitutions,1,62,3.71875
guenther2024substitutions,1,63,3.044921875
guenther2024substitutions,1,64,4.40625
guenther2024substitutions,1,65,13.109375
guenther2024substitutions,1,66,2.65380859375
guenther2024substitutions,1,67,4.125
guenther2024substitutions,1,68,21.8125
guenther2024substitutions,1,69,5.0
guenther2024substitutions,1,70,12.25
guenther2024substitutions,1,71,2.234375
guenther2024substitutions,1,72,4.375
guenther2024substitutions,1,73,10.42333984375
guenther2024substitutions,1,74,3.203125
guenther2024substitutions,1,75,18.9375
guenther2024substitutions,1,76,6.4375
guenther2024substitutions,1,77,8.5107421875
guenther2024substitutions,1,78,1.53125
guenther2024substitutions,1,79,15.366943359375
guenther2024substitutions,1,80,8.296875
guenther2024substitutions,1,81,9.9375
guenther2024substitutions,1,82,4.1640625
guenther2024substitutions,1,83,2.984375
guenther2024substitutions,1,84,8.5
guenther2024substitutions,1,85,2.5263671875
guenther2024substitutions,1,86,2.21875
guenther2024substitutions,1,87,6.798828125
guenther2024substitutions,1,88,1.7734375
guenther2024substitutions,1,89,2.3125
guenther2024substitutions,1,90,2.8125
guenther2024substitutions,1,91,3.21875
guenther2024substitutions,1,92,6.8828125
guenther2024substitutions,1,93,3.6875
guenther2024substitutions,1,94,6.04296875
guenther2024substitutions,1,95,6.0
guenther2024substitutions,1,96,2.90625
guenther2024substitutions,1,97,5.21875
guenther2024substitutions,1,98,12.28125
guenther2024substitutions,1,99,3.53125
guenther2024substitutions,1,100,8.171875
guenther2024substitutions,1,101,2.8125
guenther2024substitutions,1,102,2.609375
guenther2024substitutions,1,103,8.7529296875
guenther2024substitutions,1,104,9.421875
guenther2024substitutions,1,105,3.484375
guenther2024substitutions,1,106,4.2158203125
guenther2024substitutions,1,107,0.515625
guenther2024substitutions,1,108,2.49072265625
guenther2024substitutions,1,109,4.875
guenther2024substitutions,1,110,6.3125
guenther2024substitutions,1,111,3.663330078125
guenther2024substitutions,1,112,4.3876953125
guenther2024substitutions,1,113,3.625
guenther2024substitutions,1,114,1.265625
guenther2024substitutions,1,115,3.630859375
guenther2024substitutions,1,116,0.41943359375
guenther2024substitutions,1,117,7.03125
guenther2024substitutions,1,118,1.2265625
guenther2024substitutions,1,119,3.359375
guenther2024substitutions,1,120,6.6875
guenther2024substitutions,1,121,2.296875
guenther2024substitutions,1,122,0.69189453125
guenther2024substitutions,1,123,5.125
guenther2024substitutions,1,124,4.1875
guenther2024substitutions,1,125,3.1650390625
guenther2024substitutions,1,126,16.4375
guenther2024substitutions,1,127,4.25
guenther2024substitutions,1,128,2.5625
guenther2024substitutions,1,129,2.998046875
