experiment,participant_id,item_index,nll
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,0,2.703125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,1,6.65625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,2,5.1875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,3,2.3125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,4,1.1875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,5,1.2578125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,6,1.28125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,7,4.4375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,8,9.5
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,9,8.138671875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,10,1.0078125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,11,1.4453125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,12,1.0078125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,13,1.546875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,14,2.484375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,15,5.953125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,16,7.845703125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,17,1.359375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,18,1.421875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,19,0.73828125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,20,0.93359375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,21,5.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,22,9.078125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,23,4.1875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,24,1.65625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,25,1.1953125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,26,0.4609375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,27,0.373046875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,28,7.8125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,29,4.625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,30,4.6015625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,31,1.0625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,32,2.0
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,33,1.484375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,34,0.8125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,35,6.3125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,36,3.90625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,37,3.7724609375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,38,1.671875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,39,1.59375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,40,1.15625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,41,4.53125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,42,1.6953125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,43,7.1405029296875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,44,5.5625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,45,2.1875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,46,1.2578125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,47,0.96484375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,48,0.8515625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,49,18.65625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,50,6.75
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,51,4.5625
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,52,2.796875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,53,1.5859375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,54,0.9296875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,55,1.71875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,56,2.84375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,57,1.59375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,58,3.484375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,59,2.875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,60,2.375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,61,1.8359375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,62,1.453125
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,63,3.375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,64,4.46875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,65,5.12109375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,66,1.4921875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,67,1.796875
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,68,1.109375
stella2026_formamentis_data,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,69,2.75
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,0,3.890625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,1,7.5625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,2,9.171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,3,1.546875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,4,1.828125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,5,1.3984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,6,1.21875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,7,9.5
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,8,8.0780029296875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,9,4.97265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,10,1.34375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,11,1.8125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,12,1.90625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,13,1.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,14,4.3125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,15,3.390625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,16,0.953125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,17,0.8984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,18,1.5703125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,19,3.75
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,20,7.15625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,21,2.765625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,22,0.76171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,23,0.6171875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,24,1.296875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,25,0.84375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,26,7.678955078125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,27,2.703125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,28,7.3583984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,29,1.4765625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,30,1.09375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,31,0.76953125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,32,1.703125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,33,5.625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,34,18.0
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,35,6.3125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,36,0.95703125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,37,1.4140625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,38,1.359375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,39,0.953125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,40,13.4375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,41,6.9375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,42,8.662109375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,43,1.03125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,44,1.1640625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,45,0.921875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,46,0.73046875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,47,7.25
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,48,8.8671875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,49,5.7958984375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,50,0.55859375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,51,1.03125
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,52,0.87890625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,53,0.84375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,54,2.765625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,55,8.75
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,56,0.97265625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,57,0.77734375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,58,3.25
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,59,2.71875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,60,11.544921875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,61,6.84375
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,62,1.71875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,63,0.91796875
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,64,1.0625
stella2026_formamentis_data,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,65,0.8515625
stella2026_formamentis_data,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,0,10.0625
