label,experiment,files,task,language
Dymarska2025_associations,Dymarska2025_associations,,word association,English
Leivada2020_manipulativeDiscourse,Leivada2020_manipulativeDiscourse,,discourse/pragmatics,English
Pantelidou2026_wugTest (Catalan),Pantelidou2026_wugTest,exp1,morphology (wug),Catalan
Pantelidou2026_wugTest (Greek),Pantelidou2026_wugTest,exp2,morphology (wug),Greek
Pantelidou2026_wugTest (English),Pantelidou2026_wugTest,exp3,morphology (wug),English
Pantelidou2026_wugTest (Spanish),Pantelidou2026_wugTest,exp4,morphology (wug),Spanish
Wulff2022_StructuralDifferences (fluency),Wulff2022_StructuralDifferences,"exp1,exp2",semantic fluency,German
Wulff2022_StructuralDifferences (similarity ratings),Wulff2022_StructuralDifferences,exp3,norms/ratings,German
aguasvivas2018_spalex,aguasvivas2018_spalex,,lexical decision,Spanish
balota2007_LDT,balota2007_LDT,,lexical decision,English
balota2007_naming,balota2007_naming,,naming,English
bonandrini2026_SPChumaneval,bonandrini2026_SPChumaneval,,pseudoword form-meaning,Italian
brysbaert2014_Concreteness,brysbaert2014_Concreteness,,norms/ratings,English
chen2026transparency,chen2026transparency,,norms/ratings,Chinese
connel2022_naming,connel2022_naming,,naming,English
devardaetal2024_cloze,devardaetal2024_cloze,,cloze,English
devardaetal2024_rating,devardaetal2024_rating,,norms/ratings,English
devardalamarraetal2025_iconicity,devardalamarraetal2025_iconicity,,norms/ratings,Italian
frank2013_reading (self-paced reading),frank2013_reading,exp1,self-paced reading,English
frank2013_reading (eye tracking),frank2013_reading,exp2,eye tracking (reading),English
futrell2021_corpus,futrell2021_corpus,,self-paced reading,English
gatti2022_false_semantic_memory,gatti2022_false_semantic_memory,,recognition memory,Italian
gatti2022_false_semantic_memory_pr,gatti2022_false_semantic_memory_pr,,recognition memory,Italian
gatti2023_semantic_priming,gatti2023_semantic_priming,,lexical decision,Italian
gatti2024_concreteness_judgments,gatti2024_concreteness_judgments,,comparative judgment,Italian
gatti2024_geographical,gatti2024_geographical,,comparative judgment,Italian
guasch2023_prevalence,guasch2023_prevalence,,lexical decision,Catalan
guenther2020LDT,guenther2020LDT,,lexical decision,English
guenther2020TS,guenther2020TS,,semantic plausibility judgment,English
guenther2022relational,guenther2022relational,,relation classification,English
guenther2023ViSpa,guenther2023ViSpa,,visual similarity,English
guenther2023associations_individual,guenther2023associations_individual,,word association,English
guenther2023grammaticality,guenther2023grammaticality,,grammaticality,English
guenther2024comprehension,guenther2024comprehension,,comprehension,English
guenther2024substitutions,guenther2024substitutions,,word production,English
guenther2026_crosslingcommunication (pseudoword production),guenther2026_crosslingcommunication,exp1,word production,Italian
guenther2026_crosslingcommunication (meaning guessing),guenther2026_crosslingcommunication,exp2,meaning guessing,German
hilton2021_comprehension,hilton2021_comprehension,,comprehension,English
hutchison2013_semantic (lexical decision),hutchison2013_semantic,exp1,lexical decision,English
hutchison2013_semantic (naming),hutchison2013_semantic,exp2,naming,English
jap2025_erp,jap2025_erp,,comprehension,Indonesian
keuleers2010_DLP1,keuleers2010_DLP1,,lexical decision,Dutch
keuleers2011_britishlexiconproject,keuleers2011_britishlexiconproject,,lexical decision,English
kyroelaeinen2022_valence,kyroelaeinen2022_valence,,norms/ratings,English
marson2026_eplep,marson2026_eplep,,lexical decision,English
matrineztomas2026_discreteemotions (production),matrineztomas2026_discreteemotions,exp1,word production,Spanish
matrineztomas2026_discreteemotions (word decoding),matrineztomas2026_discreteemotions,exp2,meaning guessing,Spanish
matrineztomas2026_discreteemotions (emotion classification),matrineztomas2026_discreteemotions,exp3,emotion classification,Spanish
miklashevsky2017_LDT_RussianNouns,miklashevsky2017_LDT_RussianNouns,,lexical decision,Russian
petilli2026_ami,petilli2026_ami,,norms/ratings,Italian
petrenco2024_associations_images,petrenco2024_associations_images,,word association,English
pexman2016_calgary,pexman2016_calgary,,semantic decision,English
pissani2026_metaphor,pissani2026_metaphor,,norms/ratings,English
saban2024_ldt,saban2024_ldt,,lexical decision,Italian
schiekiera2026_pwi_de,schiekiera2026_pwi_de,,picture-word interference,German
schiekiera2026_pwi_en,schiekiera2026_pwi_en,,picture-word interference,English
seilerelpelt_etal2025_textratings,seilerelpelt_etal2025_textratings,,norms/ratings,German
tsaregorodtseva2026_mousetracking,tsaregorodtseva2026_mousetracking,,mouse-tracking,English
vanHoef2022_naming,vanHoef2022_naming,,naming,English
vergallito2020_ipsn (perceptual ratings),vergallito2020_ipsn,exp1,norms/ratings,Italian
vergallito2020_ipsn (lexical decision),vergallito2020_ipsn,exp2,lexical decision,Italian
vergallito2020_ipsn (naming),vergallito2020_ipsn,exp3,naming,Italian
FilipovicDurdevicFeldman2024_bialphabticVLD,FilipovicDurdevicFeldman2024_bialphabticVLD,,lexical decision,Serbian
FilipovicDurdevicGataric2018_inflected_verbsVLD,FilipovicDurdevicGataric2018_inflected_verbsVLD,,lexical decision,Serbian
FilipovicDurdevicKostic2023,FilipovicDurdevicKostic2023,,lexical decision,Serbian
FilipovicDurdevicMilin2019_inflected_adjectivesVLD,FilipovicDurdevicMilin2019_inflected_adjectivesVLD,,lexical decision,Serbian
PopovicStijacicFilipovicDurdevic2025_2100_nounsVLD,PopovicStijacicFilipovicDurdevic2025_2100_nounsVLD,,lexical decision,Serbian
Prekovicetal2016,Prekovicetal2016,,lexical decision,Serbian
hsieh2025_rating,hsieh2025_rating,,norms/ratings,Chinese
lynott2020lancaster (perceptual),lynott2020lancaster,exp1,norms/ratings,English
lynott2020lancaster (action),lynott2020lancaster,exp2,norms/ratings,English
wang2025_lexicaldecision,wang2025_lexicaldecision,,lexical decision,Chinese
stella2026_formamentis_data,stella2026_formamentis_data,,word association,English
